	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MOXI_1	featureCounts on ROC_MOXI_3	featureCounts on ROC_MOXI_2
gene-b0104	9518.28252627952	4894.45961435801	5210.73213952881	8457.33374942545	4723.32422211339	8119.59601769788
gene-b0106	1138.17551433475	447.616659004723	668.660424841269	644.461753655087	536.82327162082	929.543800985339
gene-b0107	194.295723106611	183.703946759164	269.070561347538	265.799581139471	291.830100679775	198.89351839265
gene-b0108	27.5988243049163	8.62459843939737	11.0439409508318	18.8104318960241	7.20568149826604	19.5801909298464
gene-b0109	712.04966706684	821.924231274569	1153.58983204597	881.636764518	1083.25411857266	561.642318777173
gene-b0110	275.988243049163	175.079348319767	344.370158739573	453.086055234668	432.340889895963	305.038763959712
gene-b0111	1010.11696955994	814.162092679111	969.858814409408	1203.86764134554	1450.74387498423	850.192500901225
gene-b0112	829.068682119685	1038.40165210344	875.483319011391	772.045552602033	901.911134199633	709.009018933385
gene-b0113	2222.25733303186	2820.24368968294	2707.77352221757	3398.14541426001	2519.58663056036	2904.05147580564
gene-b0114	288542.396248983	134632.569018525	564755.012397316	323121.509885577	394191.610150309	897426.104642202
gene-b0115	103116.935273973	31077.0155566805	236664.626613902	100438.710031253	161361.629578337	286337.620548979
gene-b0116	170368.64638722	68240.4102320438	290859.252848897	142251.84660152	172807.854638333	332037.786179241
gene-b0117	179.944334468054	244.076135834945	268.066566715644	215.911044371755	296.633888345285	498.779600528719
gene-b0118	154499.322411893	70387.0727836098	102032.962455471	93856.6945573749	91124.2491739888	48814.4465244718
gene-b0119	689.970607622907	576.985635595684	913.635115023356	1028.84884022601	1096.46453465282	1131.52892847218
gene-b0120	3204.77547828688	2186.33570438723	3670.60437420372	5175.32230600176	6449.08494094811	7352.87696233968
gene-b0121	1935.22956026073	1104.8110600868	2588.29816102221	3807.88569164732	4204.51515423824	5096.0023235837
gene-b0122	2804.04054937949	6044.11858632968	2164.61242636303	1779.63042633689	2343.04743385284	2181.64548413078
