Geneid	1714__30min_-_library-read-1.fastq.gz
gene-b0995	263
gene-b0996	150
gene-b0997	462
gene-b0998	418
gene-b0999	6417
gene-b1000	6285
gene-b1001	62
gene-b1002	28817
gene-b1003	33664
gene-b1004	38962
gene-b4518	4580
gene-b1006	765
gene-b1007	27
gene-b1008	29
gene-b1009	28
gene-b1010	1
gene-b1011	42
gene-b1012	57
gene-b1013	1075
gene-b1014	18939
gene-b4737	74
gene-b1015	8212
gene-b1018	105
gene-b1019	328
gene-b1020	33932
gene-b1021	195
gene-b1022	161
gene-b1023	46
gene-b1024	290
gene-b1025	72
gene-b1026	5
gene-b1027	13
gene-b1029	68
gene-b1032	44
gene-b1033	688
gene-b1034	452
gene-b1035	428
gene-b1036	624
gene-b1037	278
gene-b1038	169
gene-b1039	141
gene-b1040	1130
gene-b1041	38
gene-b1042	760
gene-b1043	33
gene-b1044	36
gene-b1045	2208
gene-b1046	3614
gene-b1047	217
gene-b1048	4481
gene-b1049	6030
gene-b1050	5893
gene-b1051	12129
gene-b1053	259
gene-b1054	771
gene-b1055	175
gene-b1056	41
gene-b1057	15
gene-b1058	30
gene-b1059	563
gene-b1060	3580
gene-b1061	34
gene-b1062	337
gene-b1063	1101
gene-b1064	2481
gene-b1065	173
gene-b1066	2112
gene-b1067	6461
gene-b1068	4384
gene-b1069	412
gene-b1070	176
gene-b1071	247
gene-b1072	88
gene-b1073	17
gene-b1074	30
gene-b1075	117
gene-b1076	323
gene-b1077	92
gene-b1078	112
gene-b1079	63
gene-b1080	51
gene-b1081	70
gene-b1082	696
gene-b1083	1384
gene-b1084	18777
gene-b1085	1807
gene-b1086	362
gene-b1087	2192
gene-b4418	3535
gene-b1088	14160
gene-b1089	7978
gene-b1090	5369
gene-b1091	13357
gene-b1092	11989
gene-b1093	10559
gene-b1094	24134
gene-b1095	37205
gene-b1096	529
gene-b1097	326
gene-b1098	266
gene-b1099	400
gene-b1100	14902
gene-b1101	22898
gene-b1102	651
gene-b1103	3507
gene-b1104	1381
gene-b1105	1087
gene-b1106	660
gene-b1107	3374
gene-b1108	14590
gene-b1109	1076
gene-b1110	2492
gene-b1111	1109
gene-b1112	914
gene-b1113	154
gene-b1114	6546
gene-b1115	152
gene-b1116	275
gene-b1117	113
gene-b1118	2905
gene-b1119	4360
gene-b1120	1346
gene-b1121	5
