Geneid	1714__ROC_MOXI_library-read-1.fastq.gz
gene-b4388	1946
gene-b4389	5005
gene-b4390	3374
gene-b4391	9178
gene-b4392	6502
gene-b4393	1863
gene-b4394	1344
gene-b4395	7374
gene-b4396	7692
gene-b4397	1919
gene-b4398	1081
gene-b4399	611
gene-b4400	96
gene-b4401	17875
gene-b4402	541
gene-b4403	558
