Geneid	1714__ROC_MOXI_library-read-1.fastq.gz
gene-b1283	291
gene-b1284	9420
gene-b4596	1368
gene-b1285	433
gene-b4672	17
gene-b1286	12249
gene-b1287	445
gene-b1288	42890
gene-b1289	449
gene-b1290	1155
gene-b1291	904
gene-b1292	892
gene-b1293	738
gene-b1294	1743
gene-b1295	490
gene-b1296	312
gene-b4742	199
gene-b1297	1722
gene-b1298	436
gene-b1299	1883
gene-b1300	81
gene-b1301	80
gene-b1302	143
gene-b1303	405
gene-b1304	2404
gene-b1305	401
gene-b1306	433
gene-b1307	226
gene-b1308	10346
gene-b1309	417
gene-b1310	85
gene-b1311	65
gene-b1312	43
gene-b1313	75
gene-b1314	67
gene-b1315	81
gene-b1316	147
gene-b1317	19
gene-b1319	49
gene-b1320	528
gene-b1321	1957
gene-b1322	999
gene-b1323	7409
gene-b1324	22683
gene-b1325	2059
gene-b1326	2527
gene-b4525	41
gene-b4673	52
gene-b1327	177
gene-b1328	523
gene-b1329	6056
gene-b1330	3624
gene-b1331	40
gene-b1332	1745
gene-b1333	9917
gene-b1334	21646
gene-b1335	1700
gene-b1336	258
gene-b1337	216
gene-b1338	171
gene-b1339	1069
gene-b4426	186
gene-b1340	1143
gene-b1341	909
gene-b1342	755
gene-b4699	56
gene-b4743	37
gene-b1343	1102
gene-b1344	4777
gene-b1345	560
gene-b1346	31
gene-b1347	10
gene-b4714	10
gene-b1348	11
gene-b1349	162
gene-b1350	415
gene-b1351	41
gene-b4526	24
gene-b1352	30
gene-b1353	313
gene-b4527	40
gene-b1355	9
gene-b1356	2961
gene-b1357	165
gene-b1358	52
gene-b1359	145
gene-b1360	88
gene-b1361	141
gene-b4528	39
gene-b1363	1555
gene-b1365	54
gene-b1366	95
gene-b1368	170
gene-b1370	359
gene-b1372	316
gene-b1373	14
gene-b1374	95
gene-b1375	135
gene-b4744	288
gene-b1376	2289
gene-b1377	68
gene-b4427	647
gene-b1378	9942
gene-b4529	3987
gene-b1379	3797
gene-b1380	4987
gene-b1381	3580
gene-b1382	520
gene-b1383	361
gene-b1384	7004
gene-b1385	802
gene-b1386	286
gene-b1387	310
gene-b1388	1160
gene-b1389	144
gene-b1390	607
gene-b1391	266
gene-b1392	346
gene-b1393	129
gene-b1394	174
gene-b1395	435
gene-b1396	125
gene-b1397	3586
gene-b1398	6852
gene-b1399	4649
gene-b1400	1561
gene-b4674	0
gene-b1402	28
gene-b1403	18
gene-b1404	73
gene-b1406	2720
gene-b1407	335
gene-b1408	15
gene-b1409	22
gene-b1410	204
gene-b1411	327
gene-b1412	2383
gene-b1413	10844
gene-b1414	2700
gene-b1415	64268
gene-b1418	941
gene-b4597	281
gene-b1419	1016
gene-b4428	1488
gene-b1420	1505
gene-b4429	951
gene-b1421	1493
gene-b1422	6984
gene-b1423	507
gene-b1424	8815
gene-b1426	418
gene-b1427	1678
gene-b1428	328
gene-b1429	1158
gene-b1430	1507
gene-b1431	1657
gene-b1432	1445
gene-b1433	637
gene-b1434	323
gene-b1435	7936
gene-b1436	793
gene-b4532	591
gene-b1438	1026
gene-b1439	1447
gene-b1440	177
gene-b1441	44
gene-b1442	155
gene-b1443	195
gene-b1444	843
gene-b4598	413
gene-b1445	385
gene-b1446	1146
gene-b1447	799
gene-b1448	391
