Geneid	1714__ROC_MOXI_N=3_library-read-1.fastq.gz
gene-b0883	210
gene-b0884	2369
gene-b0885	962
gene-b0886	2412
gene-b0887	2653
gene-b0888	9738
gene-b0889	1865
gene-b0890	17782
gene-b0891	1422
gene-b0892	3051
gene-b0893	27407
gene-b0894	244
gene-b0895	70
gene-b0896	104
gene-b0897	68
gene-b0898	326
gene-b0899	353
gene-b0900	190
gene-b0901	242
gene-b0902	4030
gene-b0903	201123
gene-b0904	6689
gene-b0905	11851
gene-b0906	185
gene-b0907	3873
gene-b0908	1375
gene-b0909	75
gene-b0910	4868
gene-b0911	208540
gene-b0912	4542
gene-b0913	634
gene-b0914	11614
gene-b0915	1599
gene-b0916	616
gene-b0917	2196
gene-b0918	4235
gene-b0919	368
gene-b0920	331
gene-b0921	1802
gene-b0922	7855
gene-b0923	5179
gene-b0924	23563
gene-b0925	2547
gene-b0926	11027
gene-b0927	11982
gene-b0928	25962
gene-b0929	54735
gene-b0930	32556
gene-b0931	2191
gene-b0932	25396
gene-b0933	167
gene-b0934	44
gene-b0935	38
gene-b0936	30
gene-b0937	49
gene-b0938	55
gene-b0939	13
gene-b0940	107
gene-b0941	122
gene-b0942	61
gene-b0943	103
gene-b0944	374
gene-b0945	496
gene-b0946	421
gene-b0947	1228
gene-b0948	11358
gene-b0949	7296
gene-b0950	3318
gene-b0951	3093
gene-b0952	947
gene-b0953	852
gene-b0954	4322
gene-b0955	13372
gene-b0956	491
gene-b0957	85373
gene-b0958	41833
gene-b0959	176
gene-b0960	2332
gene-b0961	672
gene-b0962	6219
gene-b0963	60926
gene-b0964	117
gene-b0965	1878
gene-b0966	4241
gene-b0967	5031
gene-b0968	154
gene-b0969	439
gene-b0970	21482
gene-b0971	20
gene-b0972	118
gene-b0973	75
gene-b0974	49
gene-b0975	197
gene-b0976	108
gene-b0977	96
gene-b0978	796
gene-b0979	596
gene-b4592	158
gene-b0980	421
gene-b0981	755
gene-b0982	154
gene-b0983	334
gene-b0984	375
gene-b0985	185
gene-b0986	102
gene-b0987	113
gene-b4516	61
gene-b0988	1787
gene-b0989	18
gene-b0990	1619
gene-b4723	267
gene-b0991	81
gene-b4517	85
gene-b0992	52
gene-b0993	594
gene-b0994	240
gene-b0995	1062
gene-b0996	130
gene-b0997	176
gene-b0998	278
gene-b0999	1088
gene-b1000	1412
gene-b1001	139
gene-b1002	14857
gene-b1003	430
gene-b1004	140
gene-b4518	63
gene-b1006	130
gene-b1007	25
gene-b1008	31
gene-b1009	21
gene-b1010	6
gene-b1011	16
gene-b1012	1
gene-b1013	2519
gene-b1014	94040
gene-b4737	78
gene-b1015	25726
gene-b1018	1437
gene-b1019	2897
gene-b1020	1170
gene-b1021	146
gene-b1022	223
gene-b1023	101
gene-b1024	192
gene-b1025	105
gene-b1026	14
gene-b1027	21
gene-b1029	28
gene-b1032	7
gene-b1033	1863
gene-b1034	2165
gene-b1035	3289
gene-b1036	956
gene-b1037	161
gene-b1038	37
gene-b1039	35
gene-b1040	237
gene-b1041	31
gene-b1042	62
gene-b1043	75
gene-b1044	836
gene-b1045	627
gene-b1046	1176
gene-b1047	821
gene-b1048	9232
gene-b1049	12916
gene-b1050	133
gene-b1051	240
gene-b1053	255
gene-b1054	737
gene-b1055	2370
gene-b1056	435
gene-b1057	139
gene-b1058	66
gene-b1059	1234
gene-b1060	319
gene-b1061	1512
gene-b1062	2429
gene-b1063	1123
gene-b1064	4076
gene-b1065	73
gene-b1066	1248
gene-b1067	4363
gene-b1068	3165
gene-b1069	1503
gene-b1070	2146
gene-b1071	1512
gene-b1072	2104
gene-b1073	5590
gene-b1074	8521
gene-b1075	16647
gene-b1076	34655
gene-b1077	12374
gene-b1078	11600
gene-b1079	5211
gene-b1080	3652
gene-b1081	2021
gene-b1082	2299
gene-b1083	1735
gene-b1084	23180
gene-b1085	1646
gene-b1086	2309
gene-b1087	2010
gene-b4418	9979
gene-b1088	72884
gene-b1089	55288
gene-b1090	37140
gene-b1091	42301
gene-b1092	51297
gene-b1093	52710
gene-b1094	92662
gene-b1095	165951
gene-b1096	1149
gene-b1097	1618
gene-b1098	1426
gene-b1099	2307
gene-b1100	2513
gene-b1101	72201
gene-b1102	584
gene-b1103	4340
gene-b1104	2348
gene-b1105	1358
gene-b1106	1040
gene-b1107	3358
gene-b1108	6984
gene-b1109	8729
gene-b1110	595
gene-b1111	779
gene-b1112	74
gene-b1113	261
gene-b1114	10166
gene-b1115	85
gene-b1116	2563
gene-b1117	1536
gene-b1118	3440
gene-b1119	3779
gene-b1120	2164
gene-b1121	205
gene-b1122	117
gene-b1123	21238
gene-b1124	2598
gene-b1125	3773
gene-b1126	3016
gene-b1127	2424
gene-b1128	2851
gene-b1129	950
gene-b1130	647
gene-b1131	13252
gene-b1132	4513
gene-b1133	9353
gene-b1134	914
gene-b1135	634
gene-b1136	34372
gene-b1137	1289
gene-b1138	2152
gene-b1139	1050
gene-b1140	299
gene-b1141	105
gene-b1142	194
gene-b1143	581
gene-b1144	612
gene-b1145	566
gene-b1146	64
gene-b1147	123
gene-b1148	35
gene-b1149	124
gene-b1150	8
gene-b1151	67
gene-b1153	40
gene-b1154	36
gene-b1155	49
gene-b1156	42
gene-b1158	48
gene-b1159	1418
gene-b1160	9
gene-b4738	4
gene-b4739	4
gene-b1161	21
gene-b1162	1088
gene-b1163	408
gene-b1164	580
gene-b1165	640
gene-b1166	183
gene-b1167	177
gene-b1168	63
gene-b4520	225
gene-b1171	195
gene-b1172	366
gene-b4593	177
gene-b4594	13
gene-b1174	2310
gene-b1175	7745
gene-b1176	2227
gene-b1177	419
gene-b1178	3754
gene-b1179	487
gene-b1180	2473
gene-b1181	876
gene-b1182	77
gene-b1183	3525
gene-b1184	10728
gene-b1185	1563
gene-b1186	3585
gene-b1187	2573
gene-b1188	560
gene-b1189	24292
gene-b1190	24048
gene-b4740	1395
gene-b1191	1270
gene-b1192	458
gene-b1193	662
gene-b1194	411
gene-b1195	42
gene-b1196	46
gene-b1197	314
gene-b1198	1583
gene-b1199	882
gene-b1200	1175
gene-b1201	495
gene-b1202	685
gene-b1203	5573
gene-b1204	3565
gene-b1205	3679
gene-b1206	1332
gene-b1207	49309
gene-b1208	3091
gene-b1209	1394
gene-b1210	4776
gene-b1211	2570
gene-b1212	1838
gene-b1213	979
gene-b1214	8279
gene-b1215	9700
gene-b4419	113
gene-b4420	96
gene-b4421	23
gene-b4422	3
gene-b4423	1
gene-b4424	5
gene-b1216	774
gene-b1217	25
gene-b1218	520
gene-b1219	2458
gene-b1220	773
gene-b1221	2188
gene-b1222	2439
gene-b1223	1197
gene-b1224	5193
gene-b1225	2172
gene-b1226	1038
gene-b1227	697
gene-b1228	22
gene-b4425	1000
gene-b1229	270
gene-b1230	4896
gene-b1231	682
gene-b1232	5689
gene-b1233	1727
gene-b1234	896
gene-b1235	1353
gene-b1236	1817
gene-b1237	66577
gene-b1238	724
gene-b1241	28569
gene-b1242	277
gene-b4711	1335
gene-b1243	20271
gene-b1244	2987
gene-b1245	5006
gene-b1246	8775
gene-b1247	6949
gene-b1248	1561
gene-b1249	2052
gene-b4595	190
gene-b1250	1501
gene-b1251	505
gene-b1252	977
gene-b1253	811
gene-b1254	4102
gene-b1255	1588
gene-b1256	151
gene-b1257	70
gene-b1258	54
gene-b1259	16
gene-b1260	296
gene-b1261	951
gene-b1262	1081
gene-b1263	129
gene-b1264	59
gene-b1265	1
gene-b1266	1630
gene-b1267	1745
gene-b1268	714
gene-b1269	7546
gene-b1270	1598
gene-b1271	2065
gene-b1272	5484
gene-b1273	640
gene-b1274	13339
gene-b1275	881
gene-b4522	375
gene-b4523	424
gene-b4741	241
gene-b1276	6019
gene-b1277	7922
gene-b1278	481
gene-b1279	1071
gene-b1280	1638
gene-b1281	2079
gene-b1282	1143
gene-b1283	157
gene-b1284	5938
gene-b4596	874
gene-b1285	251
gene-b4672	28
gene-b1286	9499
gene-b1287	375
gene-b1288	29086
gene-b1289	281
gene-b1290	701
gene-b1291	573
gene-b1292	508
gene-b1293	577
gene-b1294	1369
gene-b1295	343
gene-b1296	231
gene-b4742	137
gene-b1297	763
gene-b1298	131
gene-b1299	820
gene-b1300	40
gene-b1301	90
gene-b1302	124
gene-b1303	307
gene-b1304	1347
gene-b1305	237
gene-b1306	330
gene-b1307	201
gene-b1308	6765
gene-b1309	212
gene-b1310	65
gene-b1311	58
gene-b1312	38
gene-b1313	69
gene-b1314	47
gene-b1315	73
gene-b1316	88
gene-b1317	13
gene-b1319	7
gene-b1320	279
gene-b1321	1613
gene-b1322	1060
gene-b1323	5279
gene-b1324	11342
gene-b1325	1540
gene-b1326	1842
gene-b4525	60
gene-b4673	33
gene-b1327	84
gene-b1328	224
gene-b1329	3956
gene-b1330	1963
