Geneid	1714__30min_MOXI_library-read-1.fastq.gz
gene-b1181	2515
gene-b1182	63
gene-b1183	472
gene-b1184	1017
gene-b1185	418
gene-b1186	134
gene-b1187	865
gene-b1188	41632
gene-b1189	14958
gene-b1190	6295
gene-b4740	59
gene-b1191	71
gene-b1192	600
gene-b1193	1067
gene-b1194	222
gene-b1195	5916
gene-b1196	829
gene-b1197	1650
gene-b1198	1887
gene-b1199	881
gene-b1200	1679
gene-b1201	238
gene-b1202	271
gene-b1203	996
gene-b1204	84
gene-b1205	157192
gene-b1206	7031
gene-b1207	896
gene-b1208	462
gene-b1209	545
gene-b1210	340
gene-b1211	298
gene-b1212	72
gene-b1213	154
gene-b1214	1460
gene-b1215	2256
gene-b4419	46
gene-b4420	39
gene-b4421	0
gene-b4422	0
gene-b4423	16
gene-b4424	0
gene-b1216	154
gene-b1217	291
gene-b1218	2188
gene-b1219	1129
gene-b1220	70
gene-b1221	46
gene-b1222	447
gene-b1223	727
gene-b1224	268
gene-b1225	299
gene-b1226	318
gene-b1227	269
gene-b1228	0
gene-b4425	1
gene-b1229	0
gene-b1230	64
gene-b1231	57
gene-b1232	830
gene-b1233	490
gene-b1234	867
gene-b1235	4941
gene-b1236	9704
gene-b1237	54862
gene-b1238	63
gene-b1241	152017
gene-b1242	95
gene-b4711	1550
gene-b1243	7180
gene-b1244	624
gene-b1245	755
gene-b1246	1753
gene-b1247	1550
gene-b1248	806
gene-b1249	996
gene-b4595	104
gene-b1250	358
gene-b1251	10
gene-b1252	668
gene-b1253	72
gene-b1254	8096
gene-b1255	2307
gene-b1256	516
gene-b1257	181
gene-b1258	31
gene-b1259	290
gene-b1260	340
gene-b1261	359
gene-b1262	463
gene-b1263	162
gene-b1264	118
gene-b1265	0
gene-b1266	1011
gene-b1267	3027
gene-b1268	900
gene-b1269	476
gene-b1270	439
gene-b1271	162
gene-b1272	1828
gene-b1273	466
gene-b1274	4009
gene-b1275	227
gene-b4522	177
gene-b4523	218
gene-b4741	226
gene-b1276	14863
gene-b1277	2315
gene-b1278	411
gene-b1279	936
gene-b1280	1148
gene-b1281	175
gene-b1282	76
gene-b1283	2950
gene-b1284	542
gene-b4596	21
gene-b1285	2538
gene-b4672	73
gene-b1286	374
gene-b1287	158
gene-b1288	7396
gene-b1289	337
gene-b1290	1162
gene-b1291	1683
gene-b1292	3117
gene-b1293	4240
gene-b1294	2655
gene-b1295	58
gene-b1296	33
gene-b4742	4
gene-b1297	579
gene-b1298	1170
gene-b1299	2056
gene-b1300	50
gene-b1301	127
gene-b1302	70
gene-b1303	86
gene-b1304	5508
gene-b1305	1218
gene-b1306	1624
gene-b1307	1348
gene-b1308	1495
gene-b1309	0
gene-b1310	15
gene-b1311	48
gene-b1312	40
gene-b1313	49
gene-b1314	16
gene-b1315	11
gene-b1316	43
gene-b1317	10
gene-b1319	1
gene-b1320	37
gene-b1321	2072
gene-b1322	1697
gene-b1323	2675
gene-b1324	2278
gene-b1325	2372
gene-b1326	2894
gene-b4525	0
gene-b4673	0
gene-b1327	1
gene-b1328	126
gene-b1329	330
gene-b1330	450
gene-b1331	2
gene-b1332	704
gene-b1333	48298
gene-b1334	16594
gene-b1335	33
gene-b1336	92
gene-b1337	112
gene-b1338	8
gene-b1339	51
gene-b4426	45
gene-b1340	395
gene-b1341	979
gene-b1342	800
gene-b4699	23
gene-b4743	72
gene-b1343	123
gene-b1344	455
gene-b1345	560
gene-b1346	26
gene-b1347	59
gene-b4714	42
gene-b1348	0
gene-b1349	68
gene-b1350	121
gene-b1351	3
gene-b4526	0
gene-b1352	2
gene-b1353	0
gene-b4527	0
gene-b1355	0
gene-b1356	134
gene-b1357	204
gene-b1358	83
gene-b1359	79
gene-b1360	36
gene-b1361	70
gene-b4528	53
gene-b1363	276
gene-b1365	1
gene-b1366	3
gene-b1368	182
gene-b1370	110
gene-b1372	265
gene-b1373	19
gene-b1374	308
gene-b1375	2
gene-b4744	84
gene-b1376	12864
gene-b1377	29
gene-b4427	2178
gene-b1378	38237
gene-b4529	1324
gene-b1379	852
gene-b1380	4028
gene-b1381	584
gene-b1382	290
