Geneid	1714__30min_MOXI_N=2_library-read-1.fastq.gz
gene-b1474	180
gene-b1475	272
gene-b1476	340
gene-b1477	7051
gene-b1478	12400
gene-b1479	2677
gene-b1480	4306
gene-b1481	81
gene-b1482	30280
gene-b1483	1240
gene-b1484	60
gene-b1485	121
gene-b1486	76
gene-b1487	295
gene-b1488	71
gene-b1489	6744
gene-b1490	11091
gene-b4746	166
gene-b1491	211
gene-b1492	37291
gene-b1493	19576
gene-b1494	227
gene-b1495	116
gene-b1496	5
gene-b4747	0
gene-b1497	33
gene-b1498	136
gene-b1499	25
gene-b1500	0
gene-b1501	522
gene-b1502	44
gene-b1503	5
gene-b1504	22
gene-b1505	137
gene-b1507	670
gene-b1508	215
gene-b1511	1047
gene-b1512	872
gene-b1513	645
gene-b1514	446
gene-b1515	607
gene-b1516	458
gene-b1517	674
gene-b1518	228
gene-b1519	4775
gene-b1520	1080
gene-b1521	1444
gene-b1522	215
gene-b1523	115
gene-b1524	75
gene-b1525	484
gene-b1526	944
gene-b1527	97
gene-b1528	312
gene-b1529	2083
gene-b1530	234
gene-b1531	209
gene-b1532	107
gene-b1533	1490
gene-b1534	659
gene-b4599	5605
gene-b4698	32
gene-b1535	854
gene-b1536	3799
gene-b1537	1152
gene-b1538	2509
gene-b1539	1694
gene-b1540	705
gene-b1541	102
gene-b1542	245
gene-b1543	569
gene-b4748	63
gene-b1544	72
gene-b1545	301
gene-b1546	3
gene-b1547	61
gene-b1548	84
gene-b4533	29
gene-b1549	8
gene-b1550	46
gene-b1551	0
gene-b4749	1
gene-b4724	16
gene-b1552	36
gene-b1553	22
gene-b4689	11
gene-b1554	53
gene-b1555	16
gene-b1556	0
gene-b1557	62
gene-b1558	189
gene-b4750	307
gene-b1559	205
gene-b1560	68
gene-b1561	569
gene-b1562	25151
gene-b1563	68112
gene-b1564	50755
gene-b1565	3937
gene-b1566	193
gene-b1567	38
gene-b1568	34
gene-b1569	1
gene-b1570	756
gene-b1571	150
gene-b1572	75
gene-b1573	287
gene-b1574	159
gene-b1575	3
gene-b1576	2
gene-b4534	1
gene-b1580	1243
gene-b1581	792
gene-b1582	450
gene-b1583	681
gene-b1584	2135
gene-b1585	868
gene-b1586	9661
gene-b1587	333
gene-b1588	331
gene-b1589	5
gene-b1590	467
gene-b1591	415
gene-b1592	717
gene-b1593	2084
gene-b1594	2137
gene-b1595	135
gene-b1596	363
gene-b1597	215
gene-b4601	153
gene-b1598	5702
gene-b1599	103
gene-b1600	8
gene-b1601	446
gene-b1602	9566
gene-b1603	4172
gene-b1604	766
gene-b1605	278
gene-b1606	279
gene-b1607	140
gene-b1608	484
gene-b1609	312
gene-b1610	1835
gene-b1611	19634
gene-b1612	10741
gene-b1613	1518
gene-b1614	14378
gene-b1615	354
gene-b1616	57
gene-b1617	445
gene-b1618	1895
gene-b1619	10969
gene-b1620	488
gene-b1621	507
gene-b1622	507
gene-b1623	851
gene-b1624	3748
gene-b4409	28
gene-b1625	517
gene-b1626	826
gene-b1627	246
gene-b1628	144
gene-b1629	521
gene-b1630	122
gene-b1631	52
gene-b1632	114
gene-b1633	96
gene-b1634	1067
gene-b1635	5687
gene-b1636	349
gene-b1637	5046
gene-b1638	318
gene-b1639	352
gene-b1640	1286
gene-b1641	16819
gene-b1642	6154
gene-b1643	680
gene-b1644	143
gene-b1645	9797
gene-b1646	9658
gene-b1647	2893
gene-b1648	1300
gene-b1649	306
gene-b1650	599
gene-b1651	795
gene-b1652	33
gene-b1653	936
gene-b1654	11444
gene-b1655	288
gene-b1656	5859
gene-b1657	461
gene-b4602	495
gene-b1658	348
gene-b1659	921
gene-b1660	954
gene-b1661	44917
gene-b1662	1361
gene-b1663	6489
gene-b1664	12978
gene-b1665	42
gene-b1666	30
gene-b1667	2961
gene-b1668	4721
gene-b1669	699
gene-b1670	76
gene-b1671	83
gene-b1672	107
gene-b1673	236
gene-b1674	7
gene-b1675	207
gene-b1676	30695
gene-b1677	76214
gene-b1678	104589
gene-b1679	1007
gene-b1680	4913
gene-b1681	8788
gene-b1682	5434
gene-b1683	16960
gene-b1684	5345
gene-b4430	151
gene-b1685	2124
gene-b1686	1303
gene-b1687	766
gene-b1688	3921
gene-b4431	79
gene-b1689	49
gene-b1690	44
gene-b1691	29
gene-b1692	42
gene-b1693	199
gene-b1694	42
gene-b1695	74
gene-b1696	140
gene-b1697	21
gene-b1698	199
gene-b1699	107
gene-b1700	42
gene-b1701	277
gene-b1702	10552
gene-b1703	846
gene-b1704	323
gene-b1705	153
gene-b1706	1791
gene-b1707	143
gene-b1708	2766
gene-b1709	1134
gene-b1710	4247
gene-b1711	1358
gene-b1712	285430
gene-b1713	65618
gene-b1714	604
gene-b1715	38
gene-b1716	27019
gene-b1717	25619
gene-b1718	116903
gene-b1719	73361
gene-b4535	10
gene-b1722	196
gene-b1723	5364
gene-b1724	2330
gene-b1725	10644
gene-b1726	8617
gene-b1727	913
gene-b1728	226
gene-b1729	2553
gene-b1730	135
gene-b1731	206
gene-b1732	8264
gene-b1733	787
gene-b1734	292
gene-b1735	498
gene-b1736	127
gene-b1737	273
gene-b1738	180
gene-b1739	14162
gene-b1740	2970
gene-b1741	361
gene-b1742	46
gene-b1743	9549
gene-b1744	4075
gene-b1745	5606
gene-b1746	9629
gene-b1747	9642
gene-b1748	19977
gene-b1749	822
gene-b1750	327
gene-b1751	100
gene-b1752	284
gene-b1753	405
gene-b1754	346
gene-b1755	248
gene-b1756	71
gene-b1757	569
gene-b1758	727
gene-b1759	115
gene-b1760	117
gene-b1761	408
gene-b1762	58
gene-b1763	726
gene-b1764	3165
gene-b1765	1716
gene-b1766	420
gene-b1767	1241
gene-b1768	549
gene-b1769	128
gene-b1770	573
gene-b1771	152
gene-b1772	63
gene-b1773	45
gene-b1774	9
gene-b1775	38
gene-b1776	114
gene-b1777	2599
gene-b1778	3285
gene-b1779	109593
gene-b1780	907
gene-b1781	478
gene-b1782	1450
gene-b1783	192869
gene-b1784	36842
gene-b1785	450
gene-b1786	550
gene-b1787	232
gene-b1788	43
gene-b1789	10
gene-b1790	297
gene-b1791	216
gene-b1792	1162
gene-b1793	368
gene-b1794	462
gene-b4676	50
gene-b4675	23
gene-b1795	15078
gene-b1796	49
gene-b1797	74
gene-b1798	308
gene-b1799	1838
gene-b1800	915
gene-b1801	33
gene-b1802	92
gene-b1803	146
gene-b1804	257
gene-b1805	13166
gene-b1806	23286
gene-b1807	743
gene-b1808	356
gene-b1809	258
gene-b1810	10228
gene-b1811	818
gene-b1812	1126
gene-b1813	516
gene-b1814	32678
gene-b1815	1941
gene-b1816	1179
gene-b4751	73
gene-b1817	16244
gene-b1818	21420
gene-b1819	27358
gene-b1820	403
gene-b1821	51
gene-b1822	201
gene-b1823	43595
gene-b1824	26621
gene-b1825	892
gene-b1826	75
gene-b4536	393
gene-b1827	8110
gene-b1828	156
gene-b1829	16295
gene-b1830	2895
gene-b1831	3139
gene-b1832	1830
gene-b1833	837
gene-b1834	841
gene-b1835	374
gene-b1836	4764
gene-b1837	1581
gene-b1838	2244
gene-b4432	633
gene-b4433	349
gene-b1839	485
gene-b1840	329
gene-b1841	310
gene-b1842	290
gene-b1843	1265
gene-b1844	992
gene-b1845	2411
gene-b1846	1008
gene-b1847	2899
gene-b1848	3871
gene-b1849	75
gene-b1850	1949
gene-b1851	634
gene-b1852	4119
gene-b1853	2278
gene-b1854	10344
gene-b1855	1508
gene-b1856	7161
gene-b1857	15067
gene-b1858	8965
gene-b1859	2235
gene-b1860	2291
gene-b1861	2177
gene-b4677	117
gene-b1862	81
gene-b1863	845
gene-b1864	2985
gene-b1865	2657
gene-b1866	13564
gene-b1867	565
gene-b1868	407
gene-b1869	513
gene-b1870	1004
gene-b1871	875
gene-b1872	1457
gene-b1873	471
gene-b4717	927
gene-b1874	4995
gene-b1875	579
gene-b1876	2471
gene-b1877	13
gene-b1878	117
gene-b1879	527
gene-b1880	111
gene-b1881	555
gene-b1882	213
gene-b1883	106
gene-b1884	77
gene-b1885	123
gene-b1886	265
gene-b1887	540
gene-b1888	291
gene-b1889	251
gene-b1890	156
gene-b1891	837
gene-b1892	289
gene-b1893	80
gene-b1894	13
gene-b1895	3214
gene-b1896	72530
gene-b1897	29637
gene-b4460	1381
gene-b1900	1046
gene-b1901	1756
gene-b1902	853
gene-b4537	79
gene-b4663	190
gene-b1904	172
gene-b1905	512
gene-b1906	603
gene-b1907	1437
gene-b1908	7980
gene-b1909	39
gene-b1910	80
gene-b1911	118
gene-b1912	916
gene-b1913	636
gene-b1914	864
gene-b4752	25
gene-b1915	22
gene-b1916	772
gene-b4719	135
gene-b1917	1936
gene-b1918	1610
gene-b1919	3140
gene-b1920	15581
gene-b1921	325
gene-b1922	733
gene-b1923	7375
gene-b1924	76
gene-b1925	53
gene-b1926	59
gene-b1927	6752
gene-b1928	9494
gene-b1929	1141
gene-b1930	197
gene-b1931	1115
gene-b1932	201
gene-b1937	76
gene-b1938	208
gene-b1939	258
gene-b1940	58
gene-b1941	59
gene-b1942	22
gene-b1943	149
gene-b1944	146
gene-b1945	334
gene-b1946	196
gene-b1947	96
gene-b1948	59
gene-b1949	20
gene-b1950	55
gene-b1951	326
gene-b1952	445
gene-b1953	58452
gene-b1954	15312
gene-b1955	23925
gene-b1956	5120
gene-b1957	19959
gene-b1958	19772
gene-b1959	45
gene-b1960	67
gene-b1961	624
gene-b1962	2198
gene-b1963	1277
gene-b4603	3
gene-b1967	127237
gene-b1968	419
gene-b1969	293
gene-b1970	42
gene-b1971	3441
gene-b1972	1388
gene-b1973	7594
gene-b1974	267
gene-b1975	371
gene-b1976	2849
gene-b1977	100
gene-b1978	1482
gene-b1981	1937
gene-b1982	2020
gene-b1983	458
gene-b1984	149
gene-b1985	1315
gene-b1986	12
gene-b1987	133
gene-b1988	719
gene-b1989	149
gene-b1990	26411
gene-b1991	765
gene-b1992	816
gene-b1993	918
gene-b1994	91
gene-b1996	39
gene-b1997	46
gene-b4435	76
gene-b2000	1322
gene-b2001	270
gene-b2002	409
gene-b2003	124
gene-b2004	130
gene-b2005	10
gene-b2006	51
gene-b4538	216
gene-b2007	1993
gene-b2008	1533
gene-b2009	9226
gene-b2010	769
gene-b2011	990
gene-b2012	1652
gene-b2013	4485
gene-b2014	344
gene-b4678	7
gene-b2015	13039
gene-b2016	13046
gene-b4539	5647
gene-b2017	7201
gene-b2018	0
gene-b2019	1660
gene-b2020	2312
gene-b2021	770
gene-b2022	1388
gene-b2023	667
gene-b2024	691
gene-b2025	550
gene-b2026	1072
gene-b2027	10959
gene-b2028	938
gene-b2029	24739
gene-b2030	342
gene-b2032	961
gene-b2033	2005
gene-b2034	3243
gene-b2035	2438
gene-b2036	4369
gene-b2037	1128
gene-b2038	1016
gene-b2039	2425
gene-b2040	5393
gene-b2041	6148
gene-b2042	24707
gene-b2043	79
gene-b2044	76
gene-b2045	69
gene-b2046	57
gene-b2047	11
gene-b2048	81
gene-b2049	74
gene-b2050	52
gene-b2051	26
gene-b2052	27
gene-b2053	78
gene-b2054	11
gene-b2055	45
gene-b2056	6
gene-b2057	27
gene-b2058	14
gene-b2059	27
gene-b2060	28
gene-b2061	0
gene-b2062	2
gene-b2063	2224
gene-b2064	1639
gene-b2065	1462
gene-b2066	209
gene-b2067	973
gene-b2068	759
gene-b2069	243
gene-b2070	397
gene-b2071	5
gene-b2072	10
gene-b2073	30
gene-b4436	38
gene-b4667	38
gene-b4437	49
gene-b4668	22
gene-b2074	193
gene-b2075	348
gene-b2076	82
gene-b2077	228
gene-b2078	324
gene-b2079	1141
gene-b2080	21252
gene-b2081	1641
gene-b4438	384
gene-b2082	1
gene-b2085	102
gene-b2086	58434
gene-b2088	2
gene-b2089	77
gene-b2091	2269
gene-b2093	2985
gene-b2094	10809
gene-b2095	112691
gene-b2096	161367
gene-b2097	71760
gene-b2098	150
gene-b2099	285
gene-b2100	257
gene-b2101	388
gene-b2102	277
gene-b2103	1353
gene-b2104	1294
gene-b2105	151
gene-b2106	185
gene-b2107	199
gene-b2108	14
gene-b2109	19
gene-b2110	1
gene-b2111	4
gene-b2112	380
gene-b2113	3945
gene-b2114	3860
gene-b2115	63
gene-b2118	381
gene-b4541	2
gene-b2119	12
gene-b2120	116
gene-b2121	108
gene-b2122	98
gene-b2123	106
gene-b2124	479
gene-b2125	395
gene-b2126	856
gene-b2127	3647
gene-b4542	23
gene-b2128	367
gene-b2129	480
gene-b2130	1059
gene-b2131	7565
gene-b2132	1859
gene-b2133	2595
gene-b2134	1165
gene-b2135	143935
gene-b2136	1388
gene-b2137	4601
gene-b4679	2221
gene-b2140	458
gene-b2141	472
gene-b2142	1389
gene-b2143	4859
gene-b2144	162
gene-b2145	86
gene-b2146	309
gene-b2147	321
gene-b2148	517
gene-b2149	962
gene-b2150	4810
gene-b2151	246
gene-b2152	330
gene-b2153	917
gene-b2154	645
gene-b2155	886
gene-b2156	19830
gene-b2157	2413
gene-b2158	955
gene-b2159	1213
gene-b2160	444
gene-b2161	103
gene-b2162	1
gene-b2163	45
gene-b2164	165
gene-b2165	21
gene-b2166	3
gene-b2167	25612
gene-b2168	6075
gene-b2169	7440
gene-b2170	88
gene-b4502	128
gene-b2171	454
gene-b2172	2726
gene-b2173	225
gene-b2174	27
gene-b2175	1092
gene-b2176	333
gene-b2177	356
gene-b2178	124
gene-b2179	222
gene-b2180	1610
gene-b2181	11136
gene-b2182	633
gene-b2183	957
gene-b2184	146
gene-b2185	653
gene-b2186	1327
gene-b2187	502
gene-b2188	1707
gene-b2189	108
gene-b2192	15
gene-b2193	1667
gene-b2194	477
gene-b2195	89
gene-b2196	180
gene-b2197	113
gene-b2198	87
gene-b2199	236
gene-b2200	143
gene-b2201	2099
gene-b2202	798
gene-b2203	62
gene-b2204	165
gene-b2205	209
gene-b2206	340
gene-b2207	30
gene-b2208	8
gene-b4604	55
gene-b2209	751
gene-b2210	2181
gene-b2211	668
gene-b2212	1581
gene-b2213	3906
gene-b2214	77
gene-b2215	10137
gene-b4439	119
gene-b2216	3767
gene-b2217	7518
gene-b2218	2739
gene-b2219	2780
gene-b2220	342
gene-b2221	87
gene-b2222	94
gene-b2223	16
gene-b2224	225
gene-b2225	495
gene-b2226	285
gene-b2229	87
gene-b2230	157
gene-b2231	10886
gene-b2232	465
gene-b2233	1003
gene-b4605	44
gene-b2234	5743
gene-b2235	1519
gene-b2236	340
gene-b2237	3312
gene-b2239	9035
gene-b2240	10769
gene-b2241	17482
gene-b2242	11131
gene-b2243	8092
gene-b2244	503
gene-b2245	361
gene-b2246	199
gene-b2247	466
gene-b2248	173
gene-b2249	1454
gene-b2250	460
gene-b2251	12
gene-b2252	27
gene-b2253	753
gene-b2254	321
gene-b2255	1239
gene-b2256	549
gene-b2257	356
gene-b4544	736
gene-b2258	168
gene-b2259	63
gene-b2260	465
gene-b2261	1533
gene-b2262	1474
gene-b2263	376
gene-b2264	1185
gene-b2265	1091
gene-b2266	27221
gene-b2267	412
gene-b2268	155
gene-b2269	79
gene-b2270	67
gene-b2271	88
gene-b2272	26
gene-b2273	19
gene-b2274	0
gene-b2275	66
gene-b2276	4204
gene-b2277	1137
gene-b2278	2872
gene-b2279	471
gene-b2280	909
gene-b2281	1024
gene-b2282	1682
gene-b2283	5042
gene-b2284	2862
gene-b2285	1800
gene-b2286	4812
gene-b2287	2433
gene-b2288	1882
gene-b2289	5291
gene-b2290	1272
gene-b2291	198
gene-b2292	579
gene-b2293	4058
gene-b2294	1893
gene-b2295	26943
gene-b2296	16774
gene-b2297	10912
gene-b2298	141
gene-b2299	1112
gene-b2300	1536
gene-b2301	466
gene-b2302	1927
gene-b2303	2895
gene-b2304	4864
gene-b2305	900
gene-b2306	245
gene-b2307	149
gene-b2308	407
gene-b2309	958
gene-b2310	2907
gene-b2311	80
gene-b2312	2047
gene-b2313	933
gene-b2314	4169
gene-b2315	3204
gene-b2316	6077
gene-b2317	2405
gene-b2318	7440
gene-b2319	1920
gene-b2320	3186
gene-b2321	142
gene-b2322	178
gene-b2323	4373
gene-b2324	381
gene-b2325	189
gene-b2326	305
gene-b2327	329
gene-b2328	253
gene-b2329	1139
gene-b2330	1006
gene-b2331	790
gene-b2332	1830
gene-b2333	84
gene-b2334	19
gene-b2335	67
gene-b2336	2
gene-b2339	9
gene-b2340	14776
gene-b2341	3702
gene-b2342	2343
gene-b2343	6061
gene-b2344	2283
gene-b2345	27
gene-b2346	4761
gene-b2347	1556
gene-b2348	65
gene-b2349	112
gene-b2350	136
gene-b2351	221
gene-b2352	111
gene-b2354	141
gene-b2356	7
gene-b2357	8
gene-b2358	1
gene-b2359	16
gene-b2360	33
gene-b2361	70
gene-b2362	24
gene-b2363	117
gene-b4545	54
gene-b4501	517
gene-b2364	396
gene-b2365	227
gene-b2366	356
gene-b2367	94
gene-b2368	256
gene-b2369	132
gene-b2370	863
gene-b2371	459
gene-b2372	86
gene-b2373	98
gene-b2374	76
gene-b2375	166
gene-b2376	267
gene-b2377	4836
gene-b2378	492
gene-b4680	45
gene-b2379	1304
gene-b2380	429
gene-b2381	1041
gene-b2382	414
gene-b2383	228
gene-b2384	92
gene-b2385	58
gene-b2386	28
gene-b2387	33
gene-b2388	2902
gene-b2389	949
gene-b2390	3711
gene-b2392	78003
gene-b2393	1334
gene-b2394	20
gene-b2395	429
gene-b2396	1
gene-b2397	2
gene-b2398	570
gene-b2399	314
gene-b2400	5986
gene-b2401	4
gene-b2402	12
gene-b2403	32
gene-b2404	21
gene-b2405	557
gene-b2406	186
gene-b2407	11
gene-b2408	780
gene-b2409	416
gene-b2410	2632
gene-b4546	324
gene-b2411	2913
gene-b2412	6941
gene-b2413	1426
gene-b2414	16686
gene-b2415	6904
gene-b2416	39300
gene-b2417	250866
gene-b2418	858
gene-b2419	212
gene-b2420	476
gene-b2421	396
gene-b2422	2364
gene-b2423	1872
gene-b2424	1538
gene-b2425	3638
gene-b2426	5956
gene-b2427	9
gene-b2428	182
gene-b2429	99
gene-b2430	155
gene-b2431	2124
gene-b2432	594
gene-b2433	953
gene-b2434	1446
gene-b2435	566
gene-b2436	408
gene-b2437	569
gene-b2438	333
gene-b2439	262
gene-b2440	337
gene-b2441	1351
gene-b2442	205
gene-b2443	1769
gene-b2444	47
gene-b2445	44
gene-b2446	167
gene-b2447	371
gene-b2448	75
gene-b2449	4489
gene-b2450	1355
gene-b2451	228
gene-b2452	236
gene-b2453	177
gene-b2454	38
gene-b2455	95
gene-b2456	40
gene-b2457	166
gene-b2458	238
gene-b2459	153
gene-b2460	67
gene-b2461	74
gene-b2462	71
gene-b2463	7356
gene-b2464	60673
gene-b2465	79485
gene-b2466	3356
gene-b2467	256
gene-b2468	278
gene-b2469	637
gene-b2470	517
gene-b4606	957
gene-b2471	912
gene-b2472	5989
gene-b4547	21147
gene-b2473	3635
gene-b2474	2528
gene-b2475	7388
gene-b2476	236
gene-b2477	7547
gene-b2478	3681
gene-b2479	4518
gene-b2480	405
gene-b2481	9
gene-b2482	63
gene-b2483	98
gene-b2484	40
gene-b2485	6
gene-b2486	306
gene-b2487	240
gene-b2488	109
gene-b2489	270
gene-b2490	68
gene-b2491	178
gene-b2492	182
gene-b2493	1382
gene-b2494	5334
gene-b2495	1069
gene-b2496	826
gene-b2497	114
gene-b2498	331
gene-b2499	98
gene-b2500	354
gene-b2501	4749
gene-b2502	1999
gene-b2503	166
gene-b2504	241
gene-b2505	23
gene-b2506	372
gene-b2507	2132
gene-b2508	605
gene-b2509	770
gene-b2510	226
gene-b2511	14242
gene-b2512	26341
gene-b2513	2071
gene-b2514	4512
gene-b2515	12275
gene-b2516	9118
gene-b2517	4713
gene-b2518	623
gene-b2519	658
gene-b2520	15235
gene-b2521	3183
gene-b4440	124
gene-b2522	759
gene-b2523	2044
gene-b2524	390
gene-b2525	1039
gene-b2526	6330
gene-b2527	1955
gene-b2528	22810
gene-b2529	29686
gene-b2530	44740
gene-b2531	16576
gene-b2532	5215
gene-b2533	654
gene-b2534	122
gene-b2535	17535
gene-b2536	1243
gene-b4706	11
gene-b2537	587
gene-b2538	425
gene-b2539	97
gene-b2540	69
gene-b2541	118
gene-b2542	318
gene-b2543	1430
gene-b2544	317
gene-b2545	212
gene-b2546	44
gene-b2547	258
gene-b2548	231
gene-b2549	187
gene-b2550	432
gene-b2551	2503
gene-b2552	536
gene-b2553	306
gene-b2554	609
gene-b2555	762
gene-b2556	3343
gene-b4441	61
gene-b2557	552
gene-b2558	194
gene-b2559	140
gene-b2560	349
gene-b2561	223
gene-b2562	116
gene-b4687	110
gene-b4608	2
gene-b2563	284
gene-b2564	776
gene-b2565	1321
gene-b2566	14698
gene-b2567	6683
gene-b2568	3488
gene-b2569	2653
gene-b2570	635
gene-b2571	19186
gene-b2572	83523
gene-b2573	88302
gene-b4725	8415
gene-b2574	130
gene-b2575	102
gene-b2576	2823
gene-b2577	561
gene-b2578	1101
gene-b2579	1728
gene-b2580	463
gene-b2581	730
gene-b2582	4580
gene-b2583	200
gene-b2584	11482
gene-b2585	8112
gene-b2586	2210
gene-b2587	78775
gene-b2588	73
gene-b2589	14669
gene-b2590	2978
gene-b2591	226834
gene-b2592	450310
gene-b4609	9462
gene-b2593	1726
gene-b2594	4054
gene-b2595	2411
gene-b2597	14013
gene-b2598	127
gene-b2599	1460
gene-b2600	2519
gene-b2601	2231
gene-b2602	752
gene-b2603	781
gene-b2604	413
gene-b2605	49
gene-b2606	45305
gene-b2607	41794
gene-b2608	14826
gene-b2609	11979
gene-b2610	6841
gene-b2611	1806
gene-b4461	981
gene-b2614	57928
gene-b2615	1560
gene-b2616	19323
gene-b2617	5120
gene-b2618	1417
gene-b2619	2784
gene-b2620	346
gene-b2621	3748426
gene-b2622	2629
gene-b2623	113
gene-b2624	38
gene-b2625	60
gene-b2626	74
gene-b2627	1431
gene-b2628	1876
gene-b2629	71
gene-b2630	21681
gene-b2631	8574
gene-b2632	225
gene-b2633	63
gene-b2634	87
gene-b2635	2
gene-b2636	25
gene-b2637	1611
gene-b2638	449
gene-b2642	87
gene-b2643	50
gene-b2644	12
gene-b4548	46
gene-b2645	79
gene-b2646	60
gene-b2647	19219
gene-b2649	19
gene-b2650	4
gene-b2652	0
gene-b2659	14225
gene-b2660	4908
gene-b2661	5378
gene-b2662	5573
gene-b2663	794
gene-b2664	7570
gene-b2665	26695
gene-b2666	1409
gene-b2667	74
gene-b2668	189
gene-b2669	790
gene-b2670	12462
gene-b2671	1606
gene-b2672	81915
gene-b2673	18287
gene-b2674	24266
gene-b2675	16424
gene-b2676	3170
gene-b2677	25
gene-b2678	118
gene-b2679	132
gene-b2682	223
gene-b2683	45
gene-b2684	293
gene-b2685	549
gene-b2686	4389
gene-b2687	48857
gene-b4442	3222
gene-b2688	10386
gene-b2689	741
gene-b2690	677
gene-b2691	33
gene-b2692	195
gene-b2693	552
gene-b2694	470
gene-b2695	315
gene-b2696	24373
gene-b2697	3463
gene-b2698	258
gene-b2699	28902
gene-b2700	712
gene-b2701	430
gene-b2702	916
gene-b2703	1337
gene-b2704	415
gene-b2705	1562
gene-b2706	106
gene-b2707	421
gene-b2708	544
gene-b2709	1809
gene-b2710	520
gene-b2711	188
gene-b2712	1097
gene-b2713	201
gene-b2714	575
gene-b2715	430
gene-b2716	582
gene-b2717	2376
gene-b2718	860
gene-b2719	227
gene-b2720	52
gene-b2721	193
gene-b2722	37
gene-b2723	43
gene-b2724	31
gene-b2725	4
gene-b2726	56
gene-b2727	29
gene-b2728	22
gene-b2729	821
gene-b2730	5205
gene-b2731	1628
gene-b2732	579
gene-b2733	759
gene-b2734	51
gene-b2735	1328
gene-b2736	765
gene-b2737	623
gene-b2738	189
gene-b2739	421
gene-b2740	302
gene-b2741	171259
gene-b2742	28888
gene-b2743	2034
gene-b2744	1172
gene-b2745	1285
gene-b2746	295
gene-b2747	1224
gene-b2748	2068
gene-b2749	164
gene-b2750	831
gene-b2751	3056
gene-b2752	2050
gene-b2753	640
gene-b2754	287
gene-b2755	548
gene-b2756	253
gene-b2757	220
gene-b2758	213
gene-b2759	21
gene-b2760	122
gene-b2761	301
gene-b4701	0
gene-b2762	2561
gene-b2763	6286
gene-b2764	4237
gene-b2765	15
gene-b2766	206
gene-b2767	22
gene-b2768	59
gene-b2769	207
gene-b2770	71
gene-b2771	76
gene-b4463	125
gene-b2774	1
gene-b2775	12
gene-b2776	68
gene-b2777	3961
gene-b4682	1
gene-b2778	11
gene-b2779	44380
gene-b2780	14885
gene-b2781	4420
gene-b2782	1436
gene-b2783	1337
gene-b2784	3873
gene-b2785	1677
gene-b2786	408
gene-b2787	646
gene-b2788	234
gene-b2789	1094
gene-b2790	779
gene-b2791	238
gene-b2792	138
gene-b4408	30164
gene-b2793	265
gene-b2794	953
gene-b2795	1681
gene-b2796	7009
gene-b2797	3154
gene-b2798	137
gene-b2799	1217
gene-b2800	118
gene-b2801	196
gene-b2802	492
gene-b2803	495
gene-b2804	755
gene-b2805	685
gene-b2806	2393
gene-b2807	944
gene-b2808	941
gene-b4443	459
gene-b2809	1718
gene-b2810	1047
gene-b2811	1792
gene-b2812	1157
gene-b2813	714
gene-b2814	3
gene-b2815	2
gene-b2816	3
gene-b2817	275
gene-b2818	311
gene-b2819	682
gene-b2820	775
gene-b2821	1152
gene-b2822	2232
gene-b2823	138
gene-b2824	49
gene-b2825	78
gene-b2826	65
gene-b2827	584
gene-b2828	1099
gene-b2829	2802
gene-b2830	4037
gene-b4610	3
gene-b2831	789
gene-b2832	1229
gene-b2833	991
gene-b2834	3759
gene-b2835	3619
gene-b2836	2647
gene-b4444	10
gene-b4445	1
gene-b2837	711
gene-b2838	229
gene-b2839	230
gene-b2840	277
gene-b2841	2031
gene-b2842	364
gene-b2843	263
gene-b2844	3642
gene-b2845	292
gene-b2846	39
gene-b2847	23
gene-b2848	18
gene-b4683	0
gene-b2849	19
gene-b2851	3
gene-b2852	25
gene-b2853	4
gene-b2860	104
gene-b2861	17
gene-b2863	73
gene-b2864	40
gene-b2865	819
gene-b2866	488
gene-b2867	334
gene-b2868	313
gene-b2869	3089
gene-b2870	44
gene-b2871	35
gene-b2872	131
gene-b2873	73
gene-b2874	383
gene-b2875	1332
gene-b2876	646
gene-b2877	2200
gene-b2878	349
gene-b2879	1
gene-b2880	84
gene-b2881	481
gene-b2882	519
gene-b2883	273
gene-b4464	209
gene-b2886	205
gene-b2887	210
gene-b2888	55
gene-b4684	22
gene-b4753	10
gene-b2889	1514
gene-b2890	6105
gene-b2891	5852
gene-b2892	2362
gene-b2893	1565
gene-b2894	1162
gene-b2895	1817
gene-b2896	992
gene-b2897	865
gene-b2898	4569
gene-b2899	2802
gene-b2900	314
gene-b2901	1187
gene-b2902	173
gene-b2903	1253
gene-b2904	853
gene-b2905	600
gene-b4754	2
gene-b2906	1260
gene-b2907	5256
gene-b2908	7063
gene-b2909	3858
gene-b2910	23277
gene-b2911	29389
gene-b2912	1211
gene-b4446	91
gene-b4665	44
gene-b2913	2885
gene-b2914	3718
gene-b2916	562
gene-b2917	388
gene-b2918	42
gene-b2919	18
gene-b2920	215
gene-b2921	64
gene-b2922	5160
gene-b2923	270
gene-b2924	4728
gene-b2925	28008
gene-b2926	30310
gene-b2927	5605
gene-b2928	766
gene-b2929	1282
gene-b2930	546
gene-b4465	204
gene-b2933	376
gene-b2934	2
gene-b2935	2325
gene-b2936	7406
gene-b2937	1816
gene-b2938	24210
gene-b2939	133
gene-b2940	35
gene-b2941	2
gene-b2942	467
gene-b2943	1594
gene-b2944	32
gene-b2945	198
gene-b2946	627
gene-b2947	2437
gene-b2948	1042
gene-b2949	444
gene-b2950	271
gene-b2951	978
gene-b2952	689
gene-b2953	84
gene-b2954	486
gene-b2955	360
gene-b2956	136
gene-b2957	292
