Geneid	1714__30min_MOXI_N=3_library-read-1.fastq.gz
gene-b0695	7392
gene-b0696	803
gene-b0697	116
gene-b0698	33
gene-b4513	1
gene-b0699	1794
gene-b0700	329
gene-b0702	35
gene-b0704	14
gene-b4514	0
gene-b0706	12
gene-b0707	415
gene-b0708	943
gene-b0709	223
gene-b0710	2485
gene-b0711	2094
gene-b0712	2084
gene-b0713	744
gene-b0714	120
gene-b0715	64
gene-b0716	386
gene-b0717	191
gene-b0718	87
gene-b0719	32
gene-b0720	29758
gene-b4735	1536
gene-b0721	6461
gene-b0722	5567
gene-b0723	16526
gene-b0724	4990
gene-b0726	23806
gene-b0727	10073
gene-b0728	7885
gene-b0729	6084
gene-b0730	139
gene-b0731	73
gene-b0732	516
gene-b0733	13852
gene-b0734	10582
gene-b4515	1800
gene-b0735	1679
gene-b0736	537
gene-b0737	1171
gene-b0738	972
gene-b0739	2036
gene-b0740	7176
gene-b0741	5494
gene-b0742	5517
gene-b0743	1161
gene-b0744	1723
gene-b0745	1827
gene-b0746	1138
gene-b0747	1052
gene-b0748	752
gene-b0749	219
gene-b0750	492
gene-b0751	1556
gene-b0752	1324
gene-b0753	15910
gene-b0754	900
gene-b0755	50109
gene-b0756	3213
gene-b0757	2886
gene-b0758	2646
gene-b0759	2827
gene-b0760	391
gene-b0761	379
gene-b0762	142
gene-b0763	275
gene-b0764	264
gene-b0765	540
gene-b0766	314
gene-b0767	2670
gene-b0768	163
gene-b0769	9
gene-b0770	46
gene-b0771	111
gene-b0772	829
gene-b0773	4307
gene-b0774	3581
gene-b0775	1987
gene-b0776	868
gene-b0777	105
gene-b0778	50
gene-b0779	31257
gene-b0780	554
gene-b0781	3848
gene-b0782	3956
gene-b0783	3052
gene-b0784	1462
gene-b0785	1683
gene-b0786	12109
gene-b0787	75
gene-b0788	316
gene-b0789	1669
gene-b0790	1354
gene-b0791	3813
gene-b0792	1360
gene-b0793	428
gene-b0794	1009
gene-b0795	1533
gene-b0796	615
gene-b0797	795
gene-b0798	142
gene-b0799	1347
gene-b0800	3023
gene-b0801	794
gene-b0802	3258
gene-b0803	278
gene-b0804	283
gene-b0805	576
gene-b0806	5990
gene-b0807	421
gene-b0808	2417
gene-b0809	1051
gene-b0810	979
gene-b0811	4896
gene-b0812	361083
gene-b0813	228
gene-b4736	747
gene-b0814	100682
gene-b0815	448
gene-b4416	10184
gene-b4705	9740
gene-b0817	1816
gene-b0818	1308
gene-b0819	4530
gene-b0820	3448
gene-b0821	591
gene-b0822	800
gene-b0823	534
gene-b0824	82
gene-b0825	353
gene-b0826	1956
gene-b0827	2970
gene-b0828	2491
gene-b0829	1699
gene-b0830	742
gene-b0831	268
gene-b0832	208
gene-b0833	182
gene-b0834	70
gene-b0835	485
gene-b0836	228880
gene-b0837	2624
gene-b0838	637
gene-b0839	6559
gene-b0840	706
gene-b0841	629
gene-b0842	1779
gene-b0843	206
gene-b0844	271
gene-b0845	326
gene-b0846	210
gene-b4417	349
gene-b0847	1290
gene-b0848	237
gene-b0849	176
gene-b0850	192
gene-b0851	645
gene-b0852	575
gene-b0853	960
gene-b0854	7853
gene-b0855	1197
gene-b0856	447
gene-b0857	572
gene-b0858	221
gene-b0859	257
gene-b0860	135
gene-b0861	413
gene-b0862	583
gene-b0863	2357
gene-b0864	1758
gene-b0865	3799
gene-b0866	2558
gene-b0867	1990
gene-b0868	793
gene-b0869	1100
gene-b0870	6080
gene-b0871	21528
gene-b0872	81
gene-b0873	55
gene-b0874	126
gene-b0875	2034
gene-b0876	2015
gene-b0877	1085
gene-b0878	822
gene-b0879	4699
gene-b0880	16425
gene-b0881	5663
gene-b0882	61257
gene-b0883	131
gene-b0884	1072
gene-b0885	1255
gene-b0886	683
gene-b0887	618
gene-b0888	867
gene-b0889	1195
gene-b0890	5379
gene-b0891	871
gene-b0892	756
gene-b0893	7201
gene-b0894	299
gene-b0895	98
gene-b0896	488
gene-b0897	5323
gene-b0898	1476
gene-b0899	522
gene-b0900	139
gene-b0901	60
gene-b0902	6376
gene-b0903	323676
gene-b0904	11866
gene-b0905	557
gene-b0906	1751
gene-b0907	2980
gene-b0908	603
gene-b0909	93
gene-b0910	3759
gene-b0911	61714
gene-b0912	5143
gene-b0913	495
gene-b0914	3020
gene-b0915	1009
gene-b0916	149
gene-b0917	595
gene-b0918	2605
gene-b0919	545
gene-b0920	188
gene-b0921	932
gene-b0922	1289
gene-b0923	566
gene-b0924	3578
gene-b0925	8933
gene-b0926	1485
gene-b0927	1386
gene-b0928	6856
gene-b0929	3342
gene-b0930	14959
gene-b0931	923
gene-b0932	11891
gene-b0933	401
gene-b0934	76
gene-b0935	25
gene-b0936	20
gene-b0937	74
gene-b0938	19
gene-b0939	27
gene-b0940	203
gene-b0941	91
gene-b0942	48
gene-b0943	60
gene-b0944	199
gene-b0945	49
gene-b0946	533
gene-b0947	664
gene-b0948	2652
gene-b0949	3397
gene-b0950	3276
gene-b0951	1647
gene-b0952	794
gene-b0953	22770
gene-b0954	8279
gene-b0955	12708
gene-b0956	756
gene-b0957	105895
gene-b0958	6193
gene-b0959	297
gene-b0960	884
gene-b0961	180
gene-b0962	3781
gene-b0963	9201
gene-b0964	1249
gene-b0965	5029
gene-b0966	154015
gene-b0967	4149
gene-b0968	2116
gene-b0969	1040
gene-b0970	16466
gene-b0971	96
gene-b0972	1611
gene-b0973	1367
gene-b0974	684
gene-b0975	816
gene-b0976	308
gene-b0977	411
gene-b0978	8496
gene-b0979	5375
gene-b4592	753
gene-b0980	2801
gene-b0981	1196
gene-b0982	129
gene-b0983	108
gene-b0984	213
gene-b0985	50
gene-b0986	46
gene-b0987	48
gene-b4516	19
gene-b0988	1578
gene-b0989	32
gene-b0990	120
gene-b4723	17
gene-b0991	34
gene-b4517	61
gene-b0992	135
gene-b0993	200
gene-b0994	127
gene-b0995	474
gene-b0996	79
gene-b0997	199
gene-b0998	349
gene-b0999	8444
