	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MMC_1	featureCounts on 30min_MMC_3	featureCounts on 30min_MMC_2
gene-b0109	450.992243076269	247.934093446862	538.974856541707	535.017737899105	347.883593012185	600.10978944555
gene-b0110	339.297902501305	206.202612371648	434.032682205609	222.133946874565	280.003867546393	397.663113488015
gene-b0111	1322.41884359981	884.543745927584	1052.47831154553	659.629464194593	802.986297839656	945.095451536452
gene-b0112	2724.92042195148	2593.07967700695	4481.94781460675	3770.85919572433	3383.95858657308	2458.28106519864
gene-b0113	1029.48462963905	636.609652480722	1189.00502378861	860.09180649603	862.381057622224	765.372382063946
gene-b0114	23034.323443101	18550.0524701002	26183.5819248872	19760.4399448356	20016.0340467255	15352.894854249
gene-b0115	11015.5909091573	6515.0206337423	12462.6473444578	8378.78411808574	8017.52121013005	8121.6235359903
gene-b0116	7222.19821038493	6810.41405860803	7267.50028679016	8637.48889767746	9057.31518658333	7533.90844099113
gene-b0117	362.479746771581	292.120367526501	544.069136849285	418.532863318541	251.463528430094	466.866824146969
gene-b0118	23454.7578005483	15401.3713097585	27405.1903426443	23688.4182737151	21939.0358147507	22622.3831470507
gene-b0119	11264.2688749657	5860.4091658958	13144.2620496116	12379.9041123996	7735.20326103369	16368.2269076483
gene-b0120	1793.43177036404	2251.04518505715	1172.70332680436	2084.53746487778	2012.47958795741	1525.58030810857
gene-b0121	698.616488690576	993.372902457064	782.481455243915	952.196125931826	670.312288974699	667.247717696774
gene-b0122	676.488364614404	852.631436870067	266.940288117065	774.759863489337	957.258401171002	1268.39039834619
gene-b0123	1171.73685584302	1677.44188635666	988.290379670049	1544.10182583539	963.429285304256	1070.07528720411
gene-b0124	23890.9979609071	29085.2057807548	30651.2657546327	28104.00770549	29017.8112761095	21093.7041653305
gene-b0125	702.83136946699	882.088952923159	773.311750690275	925.106620215415	654.113718124907	835.608983926765
