	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_LEVO_1	featureCounts on ROC_LEVO_3	featureCounts on ROC_LEVO_2
gene-b0085	12.761994729989	12.7029023152867	12.7258801602888	12.7244652749956	12.7595623936355	12.6533098363765
gene-b0086	12.637817783916	12.4895086454207	12.6994008458484	12.5928883604865	12.7146643822354	12.5920813104249
gene-b0087	11.6104428400124	11.5762214242261	11.6562211955295	11.5431459100054	11.5826395668735	11.6181550469639
gene-b0088	12.3300299184295	12.2938258743736	12.4990178088781	12.2733065956428	12.4084884944679	12.3139184731382
gene-b0089	10.9780387310389	11.1322575129889	11.2094557107415	11.0213862777607	11.0902422434638	10.9929191875069
gene-b0090	11.7054818416319	11.7662221437329	11.7695399322891	11.5992490040228	11.6637080525116	11.7114925226491
gene-b0091	12.1368938699883	11.9508537737685	12.4500875993303	12.1504887613657	12.1674621264755	12.0035362575511
gene-b0092	12.3583107832056	12.2667257904191	12.4267923424251	12.2928211048126	12.3149667864867	12.2089360621653
gene-b0093	12.9109678420161	12.7283784977317	12.8143492029021	12.7862095447829	12.7356638948864	12.7852632909304
gene-b0094	13.7736374915901	13.6383063314638	13.7619027874756	13.6059071401243	13.6013002778908	13.5517438024931
gene-b0095	15.2732528827052	15.6342047008453	15.2704927679895	15.0630992809012	15.0893885854298	14.9359083772767
gene-b0096	14.6135491914905	14.4874165329816	14.6557045294141	14.7900016206299	14.8041822409123	14.566119864869
gene-b0097	11.4325169096658	11.5339779844371	11.5776869062122	11.6955290136536	11.6636829459622	11.6900188795431
gene-b0098	14.6575384826366	14.431580866859	14.5515671466284	14.6608731029346	14.7293199059749	14.5643302045581
gene-b0099	9.77951135941018	9.65551552029041	9.47151358884017	9.48960781039686	9.78591060505321	9.85178157288804
gene-b0101	11.1750075185374	11.2582244778531	11.094835614228	11.1334599548018	11.257188098883	11.4494283275117
gene-b0102	11.148252246387	10.9026889896665	11.2025165284553	11.1830316842755	11.3015247655345	11.30174762553
gene-b0103	10.7564065814896	10.7437244445074	10.5602859977425	10.8391747633243	10.8771226552217	10.9737343028729
gene-b4727	3.3590257718932	4.41420228207397	3.72557911205019	3.64489324645011	3.78039191071248	4.1949434264992
