Geneid	1714__30min_LEVO_N=3_library-read-1.fastq.gz
gene-b0813	184
gene-b4736	733
gene-b0814	170867
gene-b0815	449
gene-b4416	78047
gene-b4705	77490
gene-b0817	1448
gene-b0818	658
gene-b0819	4865
gene-b0820	1657
gene-b0821	581
gene-b0822	608
gene-b0823	830
gene-b0824	70
gene-b0825	203
gene-b0826	2564
gene-b0827	2560
gene-b0828	948
gene-b0829	1377
gene-b0830	483
gene-b0831	329
gene-b0832	100
gene-b0833	139
gene-b0834	101
gene-b0835	137
gene-b0836	1619810
gene-b0837	3168
gene-b0838	364
gene-b0839	12957
gene-b0840	483
gene-b0841	333
gene-b0842	6650
gene-b0843	263
gene-b0844	420
gene-b0845	279
gene-b0846	467
gene-b4417	1340
gene-b0847	1967
gene-b0848	430
gene-b0849	527
gene-b0850	358
gene-b0851	281
gene-b0852	787
gene-b0853	1906
gene-b0854	10713
gene-b0855	1755
gene-b0856	723
gene-b0857	1637
gene-b0858	62
gene-b0859	163
gene-b0860	51
gene-b0861	591
gene-b0862	269
gene-b0863	1306
gene-b0864	1071
gene-b0865	6931
gene-b0866	3432
gene-b0867	2884
gene-b0868	866
gene-b0869	831
gene-b0870	4479
gene-b0871	7887
gene-b0872	186
gene-b0873	49
gene-b0874	43
gene-b0875	2647
gene-b0876	4381
gene-b0877	1820
gene-b0878	1219
gene-b0879	4739
gene-b0880	29760
gene-b0881	18796
gene-b0882	270871
gene-b0883	430
gene-b0884	632
gene-b0885	1173
gene-b0886	671
gene-b0887	697
gene-b0888	1087
gene-b0889	1418
gene-b0890	4142
gene-b0891	650
gene-b0892	635
gene-b0893	28401
gene-b0894	261
gene-b0895	91
gene-b0896	447
gene-b0897	868
gene-b0898	3610
gene-b0899	886
gene-b0900	516
gene-b0901	13
gene-b0902	17605
gene-b0903	217128
gene-b0904	11469
gene-b0905	1019
gene-b0906	1520
gene-b0907	1996
gene-b0908	480
gene-b0909	288
gene-b0910	3565
gene-b0911	93004
gene-b0912	2418
gene-b0913	802
gene-b0914	1506
gene-b0915	523
gene-b0916	210
gene-b0917	1188
gene-b0918	2582
gene-b0919	585
gene-b0920	360
gene-b0921	368
gene-b0922	904
gene-b0923	604
gene-b0924	3061
gene-b0925	29688
gene-b0926	2807
gene-b0927	2036
gene-b0928	5461
gene-b0929	4418
gene-b0930	30720
gene-b0931	701
gene-b0932	19681
gene-b0933	487
gene-b0934	51
gene-b0935	5
gene-b0936	34
gene-b0937	70
gene-b0938	28
gene-b0939	67
gene-b0940	263
gene-b0941	153
gene-b0942	60
gene-b0943	46
gene-b0944	623
gene-b0945	16
gene-b0946	99
gene-b0947	470
gene-b0948	1883
gene-b0949	3738
gene-b0950	7347
gene-b0951	3596
gene-b0952	1914
gene-b0953	36452
gene-b0954	20248
gene-b0955	105740
gene-b0956	912
gene-b0957	53387
gene-b0958	9132
gene-b0959	285
gene-b0960	701
gene-b0961	27
gene-b0962	6453
gene-b0963	30289
gene-b0964	1674
gene-b0965	26602
gene-b0966	170243
gene-b0967	17753
gene-b0968	1533
gene-b0969	2110
gene-b0970	13456
gene-b0971	491
gene-b0972	6349
gene-b0973	4943
gene-b0974	2250
gene-b0975	3438
gene-b0976	1495
gene-b0977	587
gene-b0978	7925
gene-b0979	3587
gene-b4592	402
gene-b0980	1487
gene-b0981	2799
gene-b0982	148
gene-b0983	196
gene-b0984	86
gene-b0985	47
gene-b0986	65
gene-b0987	33
gene-b4516	44
gene-b0988	1129
gene-b0989	9
gene-b0990	285
gene-b4723	73
gene-b0991	22
gene-b4517	30
gene-b0992	312
gene-b0993	437
gene-b0994	282
gene-b0995	482
gene-b0996	140
gene-b0997	319
gene-b0998	828
gene-b0999	19933
gene-b1000	17453
gene-b1001	45
gene-b1002	35766
gene-b1003	37443
gene-b1004	35890
gene-b4518	6463
gene-b1006	580
gene-b1007	122
gene-b1008	58
gene-b1009	8
gene-b1010	16
gene-b1011	24
gene-b1012	22
gene-b1013	1307
gene-b1014	12406
gene-b4737	66
gene-b1015	3854
gene-b1018	101
gene-b1019	521
gene-b1020	56312
gene-b1021	231
gene-b1022	111
gene-b1023	210
gene-b1024	332
gene-b1025	216
gene-b1026	2
gene-b1027	3
gene-b1029	113
gene-b1032	13
gene-b1033	473
gene-b1034	427
gene-b1035	793
gene-b1036	528
gene-b1037	350
gene-b1038	41
gene-b1039	82
gene-b1040	1078
gene-b1041	56
gene-b1042	517
gene-b1043	73
gene-b1044	251
gene-b1045	1466
gene-b1046	2356
gene-b1047	240
gene-b1048	4770
gene-b1049	7594
gene-b1050	4541
gene-b1051	5959
gene-b1053	253
gene-b1054	607
gene-b1055	356
gene-b1056	60
gene-b1057	103
gene-b1058	47
gene-b1059	601
gene-b1060	9483
gene-b1061	142
gene-b1062	341
gene-b1063	918
gene-b1064	2368
gene-b1065	72
gene-b1066	1342
gene-b1067	7347
gene-b1068	4324
gene-b1069	604
gene-b1070	373
gene-b1071	300
gene-b1072	320
gene-b1073	570
gene-b1074	1208
gene-b1075	1698
gene-b1076	4679
gene-b1077	1866
gene-b1078	1417
gene-b1079	983
gene-b1080	484
gene-b1081	155
gene-b1082	1027
gene-b1083	1311
gene-b1084	13157
gene-b1085	1017
gene-b1086	505
gene-b1087	2334
gene-b4418	5241
gene-b1088	23703
gene-b1089	14092
gene-b1090	7670
gene-b1091	8015
gene-b1092	7909
gene-b1093	9986
gene-b1094	28713
gene-b1095	49539
gene-b1096	450
gene-b1097	525
gene-b1098	248
gene-b1099	459
gene-b1100	8210
gene-b1101	24695
gene-b1102	819
gene-b1103	3132
gene-b1104	1330
gene-b1105	1179
gene-b1106	486
gene-b1107	3393
gene-b1108	14470
gene-b1109	1917
gene-b1110	5435
gene-b1111	4640
gene-b1112	4700
gene-b1113	81
gene-b1114	7527
gene-b1115	98
gene-b1116	517
gene-b1117	233
gene-b1118	2363
gene-b1119	3454
gene-b1120	1536
gene-b1121	39
gene-b1122	40
gene-b1123	1978
gene-b1124	217
gene-b1125	252
gene-b1126	338
gene-b1127	8226
gene-b1128	6396
gene-b1129	1090
gene-b1130	777
gene-b1131	1176
gene-b1132	556
gene-b1133	1272
gene-b1134	161
gene-b1135	142
gene-b1136	9176
gene-b1137	228
gene-b1138	357
gene-b1139	188
gene-b1140	627
gene-b1141	277
gene-b1142	4571
gene-b1143	1596
gene-b1144	2135
gene-b1145	1307
gene-b1146	102
gene-b1147	251
gene-b1148	14
gene-b1149	122
gene-b1150	1
gene-b1151	99
gene-b1153	24
gene-b1154	41
gene-b1155	282
gene-b1156	62
gene-b1158	4
gene-b1159	497
gene-b1160	6
gene-b4738	1
gene-b4739	1
gene-b1161	5
gene-b1162	736
gene-b1163	672
gene-b1164	1122
gene-b1165	2467
gene-b1166	1374
gene-b1167	630
gene-b1168	485
gene-b4520	256
gene-b1171	176
gene-b1172	8
gene-b4593	40
gene-b4594	6
gene-b1174	603
gene-b1175	3149
gene-b1176	531
gene-b1177	305
gene-b1178	3080
gene-b1179	1422
gene-b1180	8738
gene-b1181	2790
gene-b1182	182
gene-b1183	1110
gene-b1184	2682
gene-b1185	1033
gene-b1186	429
gene-b1187	1509
gene-b1188	100565
gene-b1189	21321
gene-b1190	13192
gene-b4740	239
gene-b1191	335
gene-b1192	809
gene-b1193	581
gene-b1194	301
gene-b1195	11487
gene-b1196	2303
gene-b1197	3784
gene-b1198	3436
gene-b1199	1668
gene-b1200	3578
gene-b1201	282
gene-b1202	512
gene-b1203	2391
gene-b1204	286
gene-b1205	458894
gene-b1206	16446
gene-b1207	3927
gene-b1208	772
gene-b1209	637
gene-b1210	1080
gene-b1211	269
gene-b1212	297
gene-b1213	574
gene-b1214	4817
gene-b1215	5333
gene-b4419	79
gene-b4420	92
gene-b4421	54
gene-b4422	22
gene-b4423	59
gene-b4424	0
gene-b1216	404
gene-b1217	392
gene-b1218	2170
gene-b1219	1560
gene-b1220	231
gene-b1221	602
gene-b1222	1473
gene-b1223	1304
gene-b1224	823
gene-b1225	642
gene-b1226	528
gene-b1227	369
gene-b1228	21
gene-b4425	40
gene-b1229	0
gene-b1230	435
gene-b1231	96
gene-b1232	2450
gene-b1233	662
gene-b1234	760
gene-b1235	12219
gene-b1236	9301
gene-b1237	326818
gene-b1238	154
gene-b1241	423975
gene-b1242	289
gene-b4711	3447
gene-b1243	18519
gene-b1244	1783
gene-b1245	2921
gene-b1246	6513
gene-b1247	5179
gene-b1248	1797
gene-b1249	2201
gene-b4595	220
gene-b1250	1559
gene-b1251	221
gene-b1252	909
gene-b1253	55
gene-b1254	10300
gene-b1255	2430
gene-b1256	563
gene-b1257	522
gene-b1258	459
gene-b1259	889
gene-b1260	720
gene-b1261	982
gene-b1262	1010
gene-b1263	122
gene-b1264	86
gene-b1265	0
gene-b1266	1711
gene-b1267	4239
gene-b1268	1453
gene-b1269	976
gene-b1270	675
