Geneid	1714__30min_LEVO_library-read-1.fastq.gz
gene-b4705	4666
gene-b0817	255
gene-b0818	183
gene-b0819	843
gene-b0820	171
gene-b0821	194
gene-b0822	54
gene-b0823	247
gene-b0824	51
gene-b0825	194
gene-b0826	786
gene-b0827	966
gene-b0828	290
gene-b0829	301
gene-b0830	119
gene-b0831	58
gene-b0832	88
gene-b0833	22
gene-b0834	6
gene-b0835	30
gene-b0836	600154
gene-b0837	394
gene-b0838	22
gene-b0839	2297
gene-b0840	104
gene-b0841	39
gene-b0842	2276
gene-b0843	56
gene-b0844	86
gene-b0845	80
gene-b0846	243
gene-b4417	257
gene-b0847	715
gene-b0848	15
gene-b0849	6
gene-b0850	6
gene-b0851	161
gene-b0852	268
gene-b0853	268
gene-b0854	2428
gene-b0855	322
gene-b0856	104
gene-b0857	313
gene-b0858	22
gene-b0859	41
gene-b0860	14
gene-b0861	199
gene-b0862	240
gene-b0863	810
gene-b0864	242
gene-b0865	879
gene-b0866	1120
gene-b0867	1296
gene-b0868	524
gene-b0869	51
gene-b0870	248
gene-b0871	747
gene-b0872	31
gene-b0873	10
gene-b0874	24
gene-b0875	701
gene-b0876	952
gene-b0877	412
gene-b0878	597
gene-b0879	1738
gene-b0880	13653
gene-b0881	3646
gene-b0882	81234
gene-b0883	34
gene-b0884	91
gene-b0885	300
gene-b0886	108
gene-b0887	229
gene-b0888	269
gene-b0889	474
gene-b0890	1263
gene-b0891	129
gene-b0892	70
gene-b0893	6393
gene-b0894	74
gene-b0895	30
gene-b0896	45
gene-b0897	233
gene-b0898	450
gene-b0899	367
gene-b0900	104
gene-b0901	0
gene-b0902	6406
gene-b0903	42201
gene-b0904	1684
gene-b0905	225
gene-b0906	396
gene-b0907	787
gene-b0908	53
gene-b0909	7
gene-b0910	356
gene-b0911	30172
gene-b0912	235
gene-b0913	169
gene-b0914	266
gene-b0915	235
gene-b0916	36
gene-b0917	77
gene-b0918	806
gene-b0919	166
gene-b0920	105
gene-b0921	106
gene-b0922	173
gene-b0923	35
gene-b0924	783
gene-b0925	8144
gene-b0926	510
gene-b0927	563
gene-b0928	951
gene-b0929	754
gene-b0930	5666
gene-b0931	128
gene-b0932	4122
gene-b0933	115
gene-b0934	21
gene-b0935	0
gene-b0936	2
gene-b0937	5
gene-b0938	1
gene-b0939	1
gene-b0940	9
gene-b0941	38
gene-b0942	8
gene-b0943	1
gene-b0944	24
gene-b0945	2
gene-b0946	8
gene-b0947	36
gene-b0948	198
gene-b0949	1395
gene-b0950	2135
gene-b0951	886
gene-b0952	459
gene-b0953	46557
gene-b0954	7377
gene-b0955	17539
gene-b0956	228
gene-b0957	18408
gene-b0958	2018
gene-b0959	133
gene-b0960	180
gene-b0961	5
gene-b0962	1519
gene-b0963	10678
gene-b0964	167
gene-b0965	5168
gene-b0966	108436
gene-b0967	2331
gene-b0968	522
gene-b0969	652
gene-b0970	5802
gene-b0971	169
gene-b0972	1525
gene-b0973	847
gene-b0974	454
gene-b0975	659
gene-b0976	238
gene-b0977	200
gene-b0978	803
gene-b0979	348
gene-b4592	53
gene-b0980	86
gene-b0981	1501
gene-b0982	26
gene-b0983	28
gene-b0984	3
gene-b0985	2
gene-b0986	3
gene-b0987	1
gene-b4516	0
gene-b0988	44
gene-b0989	0
gene-b0990	22
gene-b4723	0
gene-b0991	1
gene-b4517	1
gene-b0992	0
gene-b0993	26
gene-b0994	140
gene-b0995	323
gene-b0996	3
gene-b0997	169
gene-b0998	64
gene-b0999	1351
gene-b1000	1147
gene-b1001	4
gene-b1002	18657
gene-b1003	8413
gene-b1004	10180
gene-b4518	4408
gene-b1006	242
gene-b1007	0
gene-b1008	2
gene-b1009	2
gene-b1010	0
gene-b1011	0
gene-b1012	30
gene-b1013	123
gene-b1014	3688
gene-b4737	41
gene-b1015	1984
gene-b1018	6
gene-b1019	174
gene-b1020	14821
gene-b1021	56
gene-b1022	2
gene-b1023	3
gene-b1024	52
gene-b1025	8
gene-b1026	1
gene-b1027	0
gene-b1029	3
gene-b1032	0
gene-b1033	8
gene-b1034	5
gene-b1035	75
gene-b1036	557
gene-b1037	116
gene-b1038	3
gene-b1039	24
gene-b1040	261
gene-b1041	12
gene-b1042	200
gene-b1043	12
gene-b1044	8
gene-b1045	544
gene-b1046	516
gene-b1047	144
gene-b1048	1189
gene-b1049	1533
gene-b1050	778
gene-b1051	1616
gene-b1053	68
gene-b1054	204
gene-b1055	126
gene-b1056	32
gene-b1057	16
gene-b1058	0
gene-b1059	70
gene-b1060	1507
gene-b1061	2
gene-b1062	152
gene-b1063	276
gene-b1064	830
gene-b1065	10
gene-b1066	482
gene-b1067	1304
gene-b1068	1352
gene-b1069	51
gene-b1070	30
gene-b1071	149
gene-b1072	4
gene-b1073	14
gene-b1074	28
gene-b1075	54
gene-b1076	120
gene-b1077	29
gene-b1078	64
gene-b1079	34
gene-b1080	15
gene-b1081	1
gene-b1082	172
gene-b1083	477
gene-b1084	2653
gene-b1085	43
gene-b1086	30
gene-b1087	461
gene-b4418	1283
gene-b1088	6481
gene-b1089	4821
gene-b1090	1446
gene-b1091	1799
gene-b1092	1532
gene-b1093	2247
gene-b1094	4862
gene-b1095	21543
gene-b1096	62
gene-b1097	80
gene-b1098	15
gene-b1099	70
gene-b1100	1999
gene-b1101	4623
gene-b1102	115
gene-b1103	886
gene-b1104	314
gene-b1105	274
gene-b1106	119
gene-b1107	646
gene-b1108	2278
gene-b1109	311
gene-b1110	906
gene-b1111	915
gene-b1112	404
gene-b1113	38
gene-b1114	757
gene-b1115	43
gene-b1116	64
gene-b1117	3
gene-b1118	639
gene-b1119	1545
gene-b1120	445
gene-b1121	1
gene-b1122	0
gene-b1123	218
gene-b1124	57
gene-b1125	66
gene-b1126	18
gene-b1127	3241
gene-b1128	2513
gene-b1129	226
gene-b1130	164
gene-b1131	51
gene-b1132	47
gene-b1133	68
gene-b1134	3
gene-b1135	55
gene-b1136	3450
gene-b1137	27
gene-b1138	47
gene-b1139	8
gene-b1140	386
gene-b1141	125
gene-b1142	2243
gene-b1143	531
gene-b1144	878
gene-b1145	492
gene-b1146	115
gene-b1147	147
gene-b1148	32
gene-b1149	15
gene-b1150	1
gene-b1151	30
gene-b1153	10
gene-b1154	4
gene-b1155	70
gene-b1156	5
gene-b1158	23
gene-b1159	124
gene-b1160	1
gene-b4738	0
gene-b4739	0
gene-b1161	1
gene-b1162	273
gene-b1163	185
gene-b1164	343
gene-b1165	514
gene-b1166	228
gene-b1167	37
gene-b1168	97
gene-b4520	0
gene-b1171	32
gene-b1172	13
gene-b4593	18
gene-b4594	0
gene-b1174	80
gene-b1175	696
gene-b1176	103
gene-b1177	74
gene-b1178	578
gene-b1179	196
gene-b1180	3464
gene-b1181	1462
gene-b1182	16
gene-b1183	376
gene-b1184	442
gene-b1185	405
gene-b1186	62
gene-b1187	587
gene-b1188	24977
gene-b1189	10994
gene-b1190	4030
gene-b4740	26
gene-b1191	53
gene-b1192	240
gene-b1193	737
gene-b1194	140
gene-b1195	3267
gene-b1196	562
gene-b1197	1856
gene-b1198	661
gene-b1199	512
gene-b1200	1058
gene-b1201	120
gene-b1202	342
gene-b1203	675
gene-b1204	76
gene-b1205	131535
gene-b1206	5760
gene-b1207	497
gene-b1208	113
gene-b1209	121
gene-b1210	239
gene-b1211	24
gene-b1212	133
gene-b1213	33
gene-b1214	345
gene-b1215	1020
gene-b4419	10
gene-b4420	28
gene-b4421	0
gene-b4422	25
gene-b4423	0
gene-b4424	0
gene-b1216	45
gene-b1217	83
gene-b1218	858
gene-b1219	908
gene-b1220	75
gene-b1221	138
gene-b1222	99
gene-b1223	383
gene-b1224	79
gene-b1225	63
gene-b1226	198
gene-b1227	75
gene-b1228	1
gene-b4425	0
gene-b1229	0
gene-b1230	52
gene-b1231	3
gene-b1232	354
gene-b1233	182
gene-b1234	490
gene-b1235	2462
gene-b1236	5187
gene-b1237	27533
gene-b1238	22
gene-b1241	64946
gene-b1242	12
gene-b4711	681
gene-b1243	4981
gene-b1244	534
gene-b1245	705
gene-b1246	1310
gene-b1247	1079
gene-b1248	310
gene-b1249	356
gene-b4595	17
gene-b1250	218
gene-b1251	8
gene-b1252	306
gene-b1253	49
gene-b1254	2962
gene-b1255	1535
gene-b1256	242
gene-b1257	87
gene-b1258	72
gene-b1259	90
gene-b1260	218
gene-b1261	210
gene-b1262	131
gene-b1263	38
gene-b1264	9
gene-b1265	0
gene-b1266	361
gene-b1267	1416
gene-b1268	540
gene-b1269	134
gene-b1270	140
gene-b1271	127
gene-b1272	1122
gene-b1273	105
gene-b1274	1764
gene-b1275	308
gene-b4522	75
gene-b4523	71
gene-b4741	158
gene-b1276	6505
gene-b1277	1390
gene-b1278	136
gene-b1279	611
gene-b1280	843
gene-b1281	10
gene-b1282	11
gene-b1283	1350
gene-b1284	207
gene-b4596	6
gene-b1285	1134
gene-b4672	4
gene-b1286	200
gene-b1287	96
gene-b1288	3411
gene-b1289	140
gene-b1290	423
gene-b1291	729
gene-b1292	1451
gene-b1293	2221
gene-b1294	1363
gene-b1295	1
gene-b1296	65
gene-b4742	12
gene-b1297	230
gene-b1298	261
gene-b1299	1189
gene-b1300	0
gene-b1301	65
gene-b1302	57
gene-b1303	16
gene-b1304	2501
gene-b1305	467
gene-b1306	776
gene-b1307	483
gene-b1308	759
gene-b1309	5
gene-b1310	4
gene-b1311	3
gene-b1312	32
gene-b1313	0
gene-b1314	26
gene-b1315	40
gene-b1316	8
gene-b1317	2
gene-b1319	0
gene-b1320	0
gene-b1321	428
gene-b1322	346
gene-b1323	1120
gene-b1324	1762
gene-b1325	870
gene-b1326	1494
gene-b4525	18
gene-b4673	0
gene-b1327	17
gene-b1328	117
gene-b1329	170
gene-b1330	109
gene-b1331	2
gene-b1332	250
gene-b1333	29431
gene-b1334	11805
gene-b1335	42
gene-b1336	27
gene-b1337	61
gene-b1338	49
gene-b1339	40
gene-b4426	33
gene-b1340	150
gene-b1341	371
gene-b1342	272
gene-b4699	0
gene-b4743	50
gene-b1343	55
gene-b1344	174
gene-b1345	101
gene-b1346	0
gene-b1347	2
gene-b4714	0
gene-b1348	0
gene-b1349	24
gene-b1350	32
gene-b1351	0
gene-b4526	1
gene-b1352	0
gene-b1353	0
gene-b4527	1
gene-b1355	0
gene-b1356	157
gene-b1357	24
gene-b1358	2
gene-b1359	43
gene-b1360	42
gene-b1361	36
gene-b4528	8
gene-b1363	166
gene-b1365	0
gene-b1366	16
gene-b1368	137
gene-b1370	126
gene-b1372	70
gene-b1373	0
gene-b1374	250
gene-b1375	12
gene-b4744	0
gene-b1376	6918
gene-b1377	34
gene-b4427	1244
gene-b1378	20553
gene-b4529	412
gene-b1379	380
gene-b1380	1763
gene-b1381	320
gene-b1382	91
gene-b1383	102
gene-b1384	199
gene-b1385	603
gene-b1386	104
gene-b1387	164
gene-b1388	18
gene-b1389	0
gene-b1390	0
gene-b1391	0
gene-b1392	15
gene-b1393	40
gene-b1394	0
gene-b1395	12
gene-b1396	1
gene-b1397	717
gene-b1398	815
gene-b1399	432
gene-b1400	540
gene-b4674	0
gene-b1402	0
gene-b1403	2
gene-b1404	2
gene-b1406	484
gene-b1407	9
gene-b1408	0
gene-b1409	47
gene-b1410	31
gene-b1411	145
gene-b1412	68
gene-b1413	1644
gene-b1414	432
gene-b1415	20282
gene-b1418	42
gene-b4597	13
gene-b1419	515
gene-b4428	3089
gene-b1420	2745
gene-b4429	1260
gene-b1421	69
gene-b1422	241
gene-b1423	582
gene-b1424	201
gene-b1426	240
gene-b1427	145
gene-b1428	276
gene-b1429	60
gene-b1430	89
gene-b1431	4479
gene-b1432	150
gene-b1433	17
gene-b1434	17
gene-b1435	67
gene-b1436	293
gene-b4532	138
gene-b1438	195
gene-b1439	122
gene-b1440	2072
gene-b1441	563
gene-b1442	279
gene-b1443	143
gene-b1444	442
gene-b4598	20
gene-b1445	23
gene-b1446	729
gene-b1447	254
gene-b1448	175
gene-b1449	681
gene-b1450	43
gene-b1451	53
gene-b1452	1186
gene-b1453	140
gene-b1454	24
gene-b1455	1
gene-b1457	20
gene-b4745	1
gene-b1460	3
gene-b1461	64
gene-b1462	266
gene-b1463	358
gene-b1464	159
gene-b1465	16
gene-b1466	66
gene-b1467	55
gene-b1468	208
gene-b1469	64
gene-b1471	3
gene-b1472	0
gene-b1473	1
gene-b1474	90
gene-b1475	55
gene-b1476	101
gene-b1477	3612
gene-b1478	1705
gene-b1479	832
gene-b1480	807
gene-b1481	22
gene-b1482	5166
gene-b1483	175
gene-b1484	33
gene-b1485	106
gene-b1486	2
gene-b1487	68
gene-b1488	14
gene-b1489	1331
gene-b1490	2049
gene-b4746	90
gene-b1491	35
gene-b1492	3471
gene-b1493	1171
gene-b1494	221
gene-b1495	6
gene-b1496	3
gene-b4747	1
gene-b1497	8
gene-b1498	71
gene-b1499	3
gene-b1500	0
gene-b1501	395
