	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MMC_1	featureCounts on ROC_MMC_3	featureCounts on ROC_MMC_2
gene-b0205	554.344261713877	1310.83820394017	1049.81879253186	94.5123211207983	149.845453740578	100.84208658172
gene-b0206	419.362089239813	701.590326157453	1338.2172884113	127.692178535547	157.432565322379	123.460872357059
gene-b0207	1395.68945325125	1356.47872440125	1372.00455989509	563.052125826032	565.872072142688	462.742658987147
gene-b0208	1341.9586855674	1506.13717521547	954.490419416898	897.867050647584	918.672760696454	983.917181227253
gene-b0209	2314.35452999222	2382.85973104914	2413.376534556	871.725344805661	950.91798491911	799.197097395316
gene-b0210	847.897724181746	728.125512472031	844.6817870946	779.223924134241	1409.30597631961	921.71552034507
gene-b0211	15005.299755612	17705.3377165393	12796.9290744832	26400.1065496681	35926.2378584266	30005.704229802
gene-b0212	788.924930382398	1141.01301152687	863.988799371048	1053.71183547443	1604.04184025251	1397.6524710345
gene-b0213	867.555322114862	1206.82027358702	976.210808227902	763.136720539212	890.221092264698	970.722889524971
gene-b0214	467.850830808166	664.441065317043	470.60842423842	547.970372455692	497.588067906476	656.887236892141
gene-b0215	4015.39200447121	6454.41871915805	3460.7819505533	2200.93054184497	1928.39086037452	1316.6018220062
gene-b0216	203.128511975534	219.711342684709	214.790511575484	163.888386624363	124.55508180124	123.460872357059
gene-b0217	66.8358329725951	75.3599291334026	56.714348562066	907.921552894477	712.556229390849	802.966895024539
gene-b4586	45.8677285106045	61.5616322498219	42.23408935473	548.975822680381	746.065972210472	299.698911523244
gene-b0219	321.074099574232	377.861053119596	294.431937215832	232.259001903238	237.097236931294	175.295589758878
gene-b0220	376.115373786957	195.298971275297	376.486739390736	240.302603700753	252.90371939338	147.96455694701
gene-b0221	9055.6001145222	4924.93057998575	3760.04064083825	1444.83197287859	1834.81648419897	1542.78967975959
gene-b0222	3335.23911598538	3273.38058376639	3302.70578753988	972.270367274595	864.93072032536	933.024913232739
gene-b0223	6545.9801117277	5620.1524614277	4873.81391153584	2005.87319825524	2561.28241815646	1616.30073352944
gene-b0224	5059.86570798411	5303.85304055793	2730.73554885011	5597.34140084557	6345.98657887839	4323.957880719
gene-b0225	2053.56373074621	2794.6858226514	2555.7657500948	10960.4128993385	11049.3635002968	8017.41710795042
gene-b0226	703.74200600556	1147.38145624237	1028.09840372086	2936.92010631757	4559.22180136416	2603.98771238592
gene-b0227	43.2467154528557	23.350963956829	77.228049105792	377.043834258504	264.284386766082	540.965959793528
gene-b0228	411.499050066566	360.878533878266	424.754270081856	508.757813692808	518.452624756429	304.411158559773
gene-b0231	917.35457021209	585.896913825891	698.672506753962	4885.48264176552	5252.81025180051	5584.01273828685
gene-b0232	344.663217093971	306.746753796526	272.711548404828	1010.47747581279	1125.42155130054	936.794710861963
gene-b0233	518.960585434268	468.080686589163	343.90615617423	1054.71728569912	1105.82151304756	947.161654342326
gene-b0234	61.5938068570975	85.974003659234	65.161166433012	398.15828897698	618.349593916815	489.131242391709
gene-b0237	11010.8758556028	7670.79165981832	11971.554299665	2660.421294528	2121.22994641198	3115.73774055297
gene-b0238	7789.65080762952	4261.55092212129	8165.65950467022	3218.44616923059	3071.5156720326	2695.40530489458
gene-b0239	5238.09459591103	3882.62846154911	4966.72890811625	2135.57627724017	2109.21701974079	2329.73493485993
gene-b4710	1644.68569373739	1198.32901396636	1685.74350938737	381.065635157261	414.12984050666	285.562170413657
gene-b4709	7.86303917324649	7.42985216808195	14.480259207336	26.1417058419229	41.7291136999077	15.0791905168928
gene-b0241	48.4887415683533	35.0264459352435	31.373894949228	394.136488078223	655.020633228855	526.829218683941
gene-b0242	6120.06548984352	4950.40435884774	6249.43853623276	2603.11063172071	2084.55890709994	2370.26025937408
gene-b0243	4318.1190126412	2964.5110150647	4363.38477447725	2198.91964139559	2190.77846924516	2321.25289019418
gene-b0244	262.101305774883	370.431200951514	249.784471326546	189.024642241597	255.432756587314	158.331500427374
gene-b0245	31.4521566929859	38.2106682929929	44.647465889286	504.73601279405	648.065780945537	550.390453866586
gene-b0246	64.2148199148463	28.6580012197447	65.161166433012	875.747145704418	781.472492925545	1025.38495514871
gene-b4504	35.3836762796092	29.7194086723278	39.820712820174	546.964922231003	385.045912776421	739.822784735051
gene-b0247	82.5619113190881	49.8861502714074	107.395255787742	819.441933121815	976.208356858448	1289.27078919433
gene-b0248	74.6988721458416	62.623039702405	161.696227815252	783.245725032999	620.878631110749	771.866064583448
gene-b0249	353.836762796092	239.878084283789	318.565702561392	797.322028178649	770.724084851326	720.973796588935
gene-b0250	901.628491865597	1150.56567860012	500.77563092037	1376.46135759971	1634.39028657972	1298.69528326739
gene-b0251	85.1829243768369	87.0354111118171	91.708308313128	266.444309542676	307.278019062957	470.282254245593
gene-b0252	56.3517807415998	135.860153930641	72.40129603668	820.447383346504	745.433712911988	532.483915127776
gene-b0253	530.755144194138	668.686695127375	620.237769380892	646.504494475248	767.562788358909	703.067257850125
gene-b0254	150.708250820558	119.939042141894	82.054802174904	1430.75566973294	1154.50547903078	1001.82371996606
gene-b0256	854.450256826118	773.766032933106	714.359454228576	1376.46135759971	897.8082038465	1172.40706268841
gene-b4690	48.4887415683533	41.3948906507423	16.893635741892	90.4905202220409	138.464786367876	114.036378284001
