	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MOXI_1	featureCounts on 30min_MOXI_3	featureCounts on 30min_MOXI_2
gene-b0111	10.0376492208051	9.71989181205996	9.8557353779169	10.2428282206494	9.68311813724127	9.74600087432537
gene-b0112	11.2338234773664	11.1963982852791	11.6593798980956	11.6293025510929	10.8880070902113	11.0435991105042
gene-b0113	9.84086644984488	9.48451405730039	9.95915797268392	10.1751678979055	9.75308729215346	10.1477705353299
gene-b0114	14.2613574755691	14.0865694422393	14.3730346689499	14.2977267157237	14.3166958451647	14.0666870016123
gene-b0115	13.1712820141337	12.753933793507	13.2794273705113	13.2781390903634	13.1263108022663	13.0392505450211
gene-b0116	12.7454038030672	12.7016045929555	12.7534699567258	13.313498214313	13.2062158998024	12.8104250406996
gene-b0117	8.16655546423144	8.01006226889704	8.49060138711049	7.39727440438199	8.10098009687316	8.0436790791243
gene-b0118	14.2887826580166	13.9540052283486	14.4240041068957	14.4401342912591	14.2690825132737	14.2016127089839
gene-b0119	13.3582462275073	12.8749081641061	13.4871599492255	14.266777718734	12.9949911881456	14.0161195153352
gene-b0120	10.559150973697	10.7521389905922	10.2285290121188	10.598698160569	10.4842808805877	10.4252188196979
gene-b0121	9.35336029924118	9.63403026585431	9.4436415524668	9.29650029038488	10.0853867612479	9.10662700770164
gene-b0122	9.10955655322181	9.30035175057836	8.45219636360403	8.91006753470682	9.29350636942404	9.00488009377601
gene-b0123	9.91884087540151	10.2232732537577	9.78572465128443	9.43158581598802	9.8143797313586	9.84151446193614
gene-b0124	14.3028457614141	14.4734906921649	14.5196744311381	13.725569245712	14.2256112196988	14.310918609742
gene-b0125	9.33394107067361	9.51469617046351	9.41083017722459	8.94390887128155	9.90579266529556	9.50030415002097
gene-b0126	9.97541525976821	10.0534153650299	10.3529224436887	9.67849819654625	10.7556115966996	10.4415470993736
gene-b0127	9.84425799863547	9.79718777093985	9.91603801493509	9.64843532639946	9.58457568266724	9.97964203638471
gene-b0128	9.83041334182317	9.61665751346714	9.90602930053377	9.74447140541898	9.51393330716028	9.98142020399572
gene-b0129	8.75203156768364	8.2322383940147	8.70806448665359	9.26245577287864	8.89102470224481	9.29518234327187
gene-b0130	8.53158315650416	8.65428171664707	8.59814996612731	8.74011508070137	8.81737780866605	8.66153842944762
gene-b0131	9.93605365546159	9.55287435883991	10.5896777992755	10.3114378703052	10.6086941106194	11.0558321305724
gene-b0132	9.40873148035295	9.29911577522527	9.25411409568263	9.72751445204846	9.03933763198768	9.3386545624168
gene-b0133	10.8028524807833	10.9277586544783	10.8843433740341	11.3634060092975	11.2746635886285	11.1766586625373
